factor_name,factor_family,target_label,train_start,train_end,validation_start,validation_end,sample_filter,primary_group_count,robustness_group_count,status
balance__retained_profit,balance,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
balance__total_assets,balance,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
balance__total_liability,balance,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
balance__total_owner_equities,balance,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
balance__capital_reserve_fund,balance,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
balance__equities_parent_company_owners,balance,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
balance__ordinary_risk_reserve_fund,balance,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
balance__surplus_reserve_fund,balance,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
balance__taxs_payable,balance,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
balance__salaries_payable,balance,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
bank_indicator__Nonperforming_loan_rate,bank_indicator,y_year_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
bank_indicator__capital_adequacy_ratio,bank_indicator,y_year_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
bank_indicator__core_level_capital_adequacy_ratio,bank_indicator,y_year_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
bank_indicator__cost_to_income_ratio,bank_indicator,y_year_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
bank_indicator__deposit_loan_ratio,bank_indicator,y_year_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
bank_indicator__net_interest_margin,bank_indicator,y_year_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
bank_indicator__non_interest_income_ratio,bank_indicator,y_year_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
bank_indicator__non_performing_loan_provision_coverage,bank_indicator,y_year_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
bank_indicator__total_deposit,bank_indicator,y_year_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
bank_indicator__total_loan,bank_indicator,y_year_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
bank_indicator__weighted_risky_asset,bank_indicator,y_year_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
