rebalance_date,code,y_quarter_avg_daily_return_close,y_year_avg_daily_return_close,improve__snapshot_delta__derived__log_total_assets,improve__season_yoy_delta__derived__log_total_assets,improve__snapshot_delta__indicator__roe,improve__season_yoy_delta__indicator__roe,improve__snapshot_delta__indicator__inc_net_profit_to_shareholders_annual,improve__season_yoy_delta__indicator__inc_net_profit_to_shareholders_annual,improve__annual_delta__bank_indicator__Nonperforming_loan_rate,improve__annual_delta__bank_indicator__non_performing_loan_provision_coverage,improve__annual_delta__bank_indicator__capital_adequacy_ratio,improve__annual_delta__bank_indicator__core_level_capital_adequacy_ratio,improve__annual_delta__bank_indicator__cost_to_income_ratio,improve__annual_delta__bank_indicator__deposit_loan_ratio,improve__annual_delta__bank_indicator__net_interest_margin,improve__annual_delta__bank_indicator__non_interest_income_ratio,improve__snapshot_delta__derived__staff_cash_to_operating_revenue,improve__season_yoy_delta__derived__staff_cash_to_operating_revenue,improve__snapshot_delta__derived__investment_income_to_operating_revenue,improve__season_yoy_delta__derived__investment_income_to_operating_revenue,improve__snapshot_delta__income__minority_profit,improve__season_yoy_delta__income__minority_profit,improve__snapshot_delta__indicator__eps,improve__season_yoy_delta__indicator__eps
2021-09-01,601398.XSHG,0.0002595463,-0.0002550001,0.022121552600001593,0.11952337870000207,-0.33000000000000007,0.33000000000000007,-7.6000000000000005,-2.7800000000000002,0.15000000000000013,-18.639999999999986,0.10999999999999943,-0.019999999999999574,-0.9699999999999989,1.2000000000000028,-0.1499999999999999,-2.3000000000000007,-0.033817901299999995,-0.01143790389999999,0.012426564699999997,0.03610229340000001,-98000000.0,-72492000.0,-0.022400000000000003,0.006599999999999995
2021-09-01,601577.XSHG,-0.0023907636,-0.0007509434,0.03248393299999819,0.0,0.23999999999999977,0.0,-31.709999999999997,0.0,-0.010000000000000009,12.699999999999989,0.34999999999999964,-0.5500000000000007,-1.0299999999999976,-0.1599999999999966,-0.020000000000000018,-5.443000000000001,-0.0928963059,0.0,0.009628908899999997,0.0,40833000.0,,0.06429999999999997,0.0
2021-09-01,601658.XSHG,0.0015527341,-0.0008119603,0.021108006599998674,0.0,-0.33999999999999986,0.0,-93.28,0.0,0.020000000000000018,18.610000000000014,0.3600000000000012,-0.3000000000000007,1.3100000000000023,1.7800000000000011,-0.10999999999999988,-1.7466999999999988,-0.037044083000000005,0.0,-0.002416552799999999,0.0,-18000000.0,,-0.015100000000000002,0.0
2021-09-01,601818.XSHG,4.24302e-05,-0.0005772299,0.033664761499998974,0.12738389120000093,-0.1499999999999999,0.27,-45.260000000000005,13.7,-0.18000000000000016,1.0900000000000034,0.4299999999999997,-0.17999999999999972,-0.879999999999999,-3.4081000000000046,-0.020000000000000018,-0.9551000000000016,-0.06591860170000001,-0.05572347189999999,0.010481107400000002,-0.021674105299999996,-20000000.0,6199000.0,-0.01100000000000001,0.08829999999999999
2021-09-01,601838.XSHG,0.0010153276,0.0006958696,0.030959532299998926,0.10701593470000148,0.04999999999999982,1.0899999999999999,11.53,23.63,-0.05999999999999983,39.55000000000001,-1.459999999999999,-0.870000000000001,-2.6499999999999986,4.3899999999999935,0.029999999999999805,0.10229999999999961,-0.2009465232,-0.012849841700000003,0.029911560699999992,0.09830709139999999,-1018000.0,326000.0,0.014000000000000012,0.1486
2021-09-01,601916.XSHG,-0.000810318,-0.0007412663,0.04816051099999896,0.13182285669999771,-0.9400000000000002,0.25,-100.19,8.21,0.04999999999999982,-29.79000000000002,-1.3100000000000005,-0.8900000000000006,-0.2799999999999976,-0.7000000000000028,-0.20000000000000018,-4.700000000000003,-0.0782614231,-0.011058114899999999,0.02983788720000001,-0.015394171199999997,-13000000.0,14350000.0,-0.051400000000000015,0.03359999999999999
2021-09-01,601939.XSHG,0.0001648135,-0.0001814505,0.015372544899999951,0.07233034509999925,-0.5800000000000001,0.45999999999999996,-43.0,12.860000000000003,0.14000000000000012,-14.099999999999994,-0.46000000000000085,-0.26000000000000156,-1.4100000000000001,0.8099999999999881,-0.1299999999999999,-3.8200000000000003,-0.007816116300000009,-0.006015551599999988,0.0041100055,-0.0938587242,996000000.0,88000000.0,-0.05169999999999997,0.22409999999999997
2021-09-01,601988.XSHG,0.0002509434,0.0002390412,0.01852501910000015,0.06228125410000018,0.18999999999999995,-0.8999999999999999,-5.52,-98.02000000000001,0.08999999999999986,-5.02000000000001,0.629999999999999,-0.02000000000000135,-1.2699999999999996,1.602899999999991,-0.039999999999999813,-5.390000000000001,-0.03800293319999998,-0.004737769599999997,0.016637733099999996,-0.0767546723,-906000000.0,3000000.0,0.016399999999999998,-0.14560000000000006
2021-09-01,601997.XSHG,-0.0006164214,-0.000655512,-0.002532800499999155,0.05905838729999857,-0.7200000000000002,0.25,-8.93,9.720000000000002,0.08000000000000007,-14.560000000000002,-0.7299999999999986,-0.08999999999999986,-2.460000000000001,3.6799999999999997,0.1200000000000001,-1.3097999999999992,-0.09348362819999997,-0.008833233199999999,0.04691949039999999,0.050213570999999985,-27121000.0,40000000.0,-0.11909999999999998,0.039699999999999985
2021-11-01,000001.XSHE,-0.0011910412,-0.0007470196,0.027058034199999526,0.07273828190000131,1.03,1.3199999999999998,81.5,54.559999999999995,-0.47,18.28,0.06999999999999851,-0.41999999999999993,-0.5,5.180599999999998,-0.07000000000000028,0.3100000000000023,0.006735092299999995,-0.013088582399999993,0.00532940300000001,0.008568796099999998,,1798000.0,0.21130000000000004,0.19729999999999998
