rebalance_date,quarter_key,code,avg_traded_amount_lookback,avg_traded_volume_lookback,market_cap,circulating_market_cap,turnover_ratio
2019-10-31,2019q3,601998.XSHG,247321918.750000,58310568.850000,2999.7038,1955.7873,0.085
2019-10-31,2019q3,603323.XSHG,133430596.950000,33779901.450000,94.3003,45.9085,1.8038
2020-04-30,2019q4,600015.XSHG,90835370.810000,19914952.000000,1009.4019,841.1682,0.2418
2020-04-30,2019q4,600016.XSHG,392859346.176500,97339659.350000,2578.7844,2088.7191,0.2352
2020-04-30,2019q4,600036.XSHG,1207025010.596000,48568379.100000,8849.6438,7238.6966,0.3468
2020-04-30,2019q4,600908.XSHG,35644152.083500,8953017.150000,93.5221,85.8605,0.5573
2020-04-30,2019q4,601577.XSHG,66549812.404500,11339549.450000,268.592,78.1336,1.4762
2020-04-30,2019q4,601988.XSHG,257279216.666500,105198443.000000,10244.6951,7334.6399,0.0377
2020-04-30,2020q1,002142.XSHE,774425085.185500,39473865.150000,1466.1798,1464.4197,0.5642
2020-04-30,2020q1,002807.XSHE,39381386.745000,14313641.200000,90.1377,89.5233,0.4226
2020-04-30,2020q1,002839.XSHE,198426877.072500,55896714.900000,99.0551,72.8259,2.1647
2020-04-30,2020q1,002936.XSHE,42624717.600000,15190798.700000,227.9944,57.9746,1.0856
2020-04-30,2020q1,002948.XSHE,35271988.793500,9701503.500000,224.1316,30.0686,1.2933
2020-04-30,2020q1,002958.XSHE,143062957.565000,38445373.400000,247.2222,119.8024,2.269
2020-04-30,2020q1,002966.XSHE,122221431.573000,20502363.000000,286.6667,28.6667,4.8131
2020-04-30,2020q1,600000.XSHG,211185939.178500,26985900.800000,3120.1261,2987.4301,0.11
2020-04-30,2020q1,600919.XSHG,182211073.882500,46863567.450000,697.2881,688.9093,0.4931
2020-04-30,2020q1,600928.XSHG,59489770.437500,13315285.350000,241.3333,62.751,1.0258
2020-04-30,2020q1,601077.XSHG,70946849.747000,19960319.550000,570.1214,68.1214,10.1242
2020-04-30,2020q1,601128.XSHG,194659332.924500,47100765.150000,195.6971,183.8612,1.8613
2020-04-30,2020q1,601166.XSHG,761343542.456000,68979240.250000,3452.6705,3260.0546,0.3046
2020-04-30,2020q1,601169.XSHG,212787386.807000,63814924.650000,1052.9206,908.7509,0.4004
2020-04-30,2020q1,601229.XSHG,93097158.621500,16875746.200000,1160.6734,1083.4876,0.2054
2020-04-30,2020q1,601288.XSHG,356387924.260500,152769429.000000,12109.413,10174.3132,0.0403
2020-04-30,2020q1,601328.XSHG,236957822.565000,67524949.800000,3846.8092,2033.1948,0.1491
2020-04-30,2020q1,601398.XSHG,544135973.030500,152890322.500000,18426.2035,13938.9514,0.0386
2020-04-30,2020q1,601658.XSHG,102585686.541500,26966458.950000,4540.2809,155.2424,1.3702
2020-04-30,2020q1,601818.XSHG,310079389.076500,124633789.400000,1957.8521,1484.9352,0.2979
2020-04-30,2020q1,601838.XSHG,88658881.742500,15582724.950000,279.9495,146.8007,1.2711
2020-04-30,2020q1,601916.XSHG,92853385.023500,31754814.700000,867.7628,84.3567,2.1854
