factor_name,factor_family,layer,direction,target_label,train_rank_ic_mean,test_rank_ic_mean,train_positive_ic_ratio,test_positive_ic_ratio,train_top_minus_bottom,test_top_minus_bottom,keep_flag,keep_reason,priority_score,fold_id
bank_indicator__core_level_capital_adequacy_ratio,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,0.189957,0.301844,0.666667,1.0,0.00025707,0.00033642,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,311.844336,annual_03
derived__investment_income_to_operating_revenue,derived,watch_layer,larger_better,y_quarter_avg_daily_return_close,0.052049,-0.156085,0.533333,0.166667,6.25e-06,-7.152e-05,0,fail_threshold_rule,-154.418402,annual_03
improve__annual_delta__bank_indicator__capital_adequacy_ratio,improvement_bank_indicator,improvement_layer,smaller_better,y_year_avg_daily_return_close,0.114331,-0.14342,0.666667,0.166667,7.164e-05,-0.00014102,0,fail_threshold_rule,-141.753471,annual_03
improve__season_yoy_delta__derived__staff_cash_to_operating_revenue,improvement_derived,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.099797,-0.100355,0.642857,0.166667,1.016e-05,-0.00014851,0,fail_threshold_rule,-98.688479,annual_03
improve__snapshot_delta__indicator__inc_net_profit_to_shareholders_annual,improvement_indicator,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.079395,-0.082594,0.6,0.333333,0.00029689,-0.00029979,0,fail_threshold_rule,-79.26097,annual_03
improve__snapshot_delta__indicator__eps,improvement_indicator,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.091943,-0.006649,0.733333,0.5,0.00020032,1.08e-06,0,fail_threshold_rule,-1.648999,annual_03
indicator__roe,indicator,base_core,larger_better,y_quarter_avg_daily_return_close,0.219679,-0.152205,0.866667,0.333333,0.00053006,-0.00025274,0,fail_threshold_rule,-148.871923,annual_04
indicator__eps,indicator,base_core,larger_better,y_quarter_avg_daily_return_close,0.10658,-0.22818,0.733333,0.166667,0.00051799,-0.00094168,0,fail_threshold_rule,-226.514272,annual_04
derived__log_total_assets,derived,base_core,larger_better,y_quarter_avg_daily_return_close,0.141748,0.121977,0.8,0.666667,0.00022615,0.00051141,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,128.644181,annual_04
bank_indicator__Nonperforming_loan_rate,bank_indicator,base_core,smaller_better,y_year_avg_daily_return_close,0.148655,-0.340946,0.733333,0.0,0.00037798,-0.0003242,0,fail_threshold_rule,-340.946324,annual_04
bank_indicator__non_performing_loan_provision_coverage,bank_indicator,base_core,larger_better,y_year_avg_daily_return_close,0.209353,-0.242614,0.666667,0.166667,0.00036158,-0.00040934,0,fail_threshold_rule,-240.947739,annual_04
bank_indicator__deposit_loan_ratio,bank_indicator,base_core,smaller_better,y_year_avg_daily_return_close,0.225561,-0.040119,1.0,0.5,0.00034484,-0.00019347,0,fail_threshold_rule,-35.119193,annual_04
bank_indicator__capital_adequacy_ratio,bank_indicator,base_core,larger_better,y_year_avg_daily_return_close,0.238645,0.361643,0.866667,1.0,0.00026986,0.00060155,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,371.643602,annual_04
improve__annual_delta__bank_indicator__Nonperforming_loan_rate,improvement_bank_indicator,improvement_layer,smaller_better,y_year_avg_daily_return_close,0.154845,0.159925,0.8,1.0,0.00027755,0.00018708,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,169.925187,annual_04
improve__snapshot_delta__derived__investment_income_to_operating_revenue,improvement_derived,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.05521,-0.062468,0.533333,0.333333,0.00022195,-0.0003906,0,fail_threshold_rule,-59.135061,annual_04
bank_indicator__non_interest_income_ratio,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,0.053591,-0.121038,0.666667,0.166667,2.744e-05,-0.00025204,0,fail_threshold_rule,-119.371582,annual_04
bank_indicator__net_interest_margin,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,-0.059825,-0.389857,0.533333,0.0,-0.00012055,-0.0003159,0,fail_threshold_rule,-389.857316,annual_04
indicator__inc_net_profit_to_shareholders_annual,indicator,watch_layer,larger_better,y_quarter_avg_daily_return_close,0.020154,-0.054495,0.6,0.666667,6.52e-05,3.607e-05,0,fail_threshold_rule,-47.828294,annual_04
bank_indicator__cost_to_income_ratio,bank_indicator,watch_layer,smaller_better,y_year_avg_daily_return_close,-0.005268,0.101223,0.466667,0.666667,-0.00011346,0.00027977,0,fail_threshold_rule,107.88995,annual_04
bank_indicator__core_level_capital_adequacy_ratio,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,0.102698,0.368446,0.666667,1.0,8.695e-05,0.00056268,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,378.446563,annual_04
derived__investment_income_to_operating_revenue,derived,watch_layer,larger_better,y_quarter_avg_daily_return_close,0.095009,-0.216394,0.533333,0.333333,0.00015161,-0.00087751,0,fail_threshold_rule,-213.061548,annual_04
improve__annual_delta__bank_indicator__capital_adequacy_ratio,improvement_bank_indicator,improvement_layer,smaller_better,y_year_avg_daily_return_close,0.000675,-0.345066,0.533333,0.0,-3.343e-05,-0.00046715,0,fail_threshold_rule,-345.066467,annual_04
improve__season_yoy_delta__derived__staff_cash_to_operating_revenue,improvement_derived,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.058192,-0.009941,0.6,0.333333,-4.238e-05,-4.544e-05,0,fail_threshold_rule,-6.607715,annual_04
improve__snapshot_delta__indicator__inc_net_profit_to_shareholders_annual,improvement_indicator,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.040045,0.091134,0.466667,0.666667,0.00017544,-2.445e-05,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,97.800646,annual_04
improve__snapshot_delta__indicator__eps,improvement_indicator,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.093919,0.000883,0.733333,0.5,0.00023972,-0.00026547,0,fail_threshold_rule,5.882735,annual_04
