rebalance_date,quarter_key,code,active_quarter_key,effective_data_flag,avg_traded_amount_lookback,market_cap,circulating_market_cap,avg_traded_volume_lookback,liquidity_top_80_flag,market_cap_top_80_flag,rebalance_stock_pool_flag
2018-08-31,2018q2,600908.XSHG,2018q2,1,30508700.350000,106.2666,46.249,6938415.300000,0,0,0
2018-08-31,2018q2,600919.XSHG,2018q2,1,114495351.800000,726.1459,377.9174,29388273.550000,1,1,1
2018-08-31,2018q2,601009.XSHG,2018q2,1,273286136.200000,625.1387,625.1387,55776118.450000,1,1,1
2018-08-31,2018q2,601128.XSHG,2018q2,1,64162405.950000,131.5867,59.0348,18776600.750000,0,1,0
2018-08-31,2018q2,601166.XSHG,2018q2,1,598990226.250000,3132.748,2873.0924,59556802.100000,1,1,1
2018-08-31,2018q2,601169.XSHG,2018q2,1,148686776.900000,1232.636,1063.859,39072919.500000,1,1,1
2018-08-31,2018q2,601229.XSHG,2018q2,1,239497739.100000,1279.6804,608.4021,42600100.300000,1,1,1
2018-08-31,2018q2,601288.XSHG,2018q2,1,675825821.700000,12704.3841,10674.2072,289192895.050000,1,1,1
2018-08-31,2018q2,601328.XSHG,2018q2,1,255606419.500000,4173.5652,2205.8986,71215874.350000,1,1,1
2018-08-31,2018q2,601818.XSHG,2018q2,1,189910809.950000,1957.8496,1484.9327,80067991.150000,1,1,1
2018-08-31,2018q2,601939.XSHG,2018q2,1,547257779.950000,17200.7553,660.0436,118862103.200000,1,1,1
2018-08-31,2018q2,601988.XSHG,2018q2,1,307123733.400000,10450.7666,7482.1758,131062654.500000,1,1,1
2018-08-31,2018q2,601997.XSHG,2018q2,1,85918707.750000,273.5324,147.4368,14582433.150000,1,1,1
2018-08-31,2018q2,601998.XSHG,2018q2,1,79306254.300000,2921.4074,1904.7383,20047153.600000,0,1,0
2018-08-31,2018q2,603323.XSHG,2018q2,1,99237341.200000,92.6774,38.8434,23719281.400000,1,0,0
2018-10-31,2018q3,002142.XSHE,2018q3,1,374692759.921000,917.2263,815.4523,26639632.900000,1,1,1
2018-10-31,2018q3,002807.XSHE,2018q3,1,73779278.077500,95.6169,38.8627,25417698.350000,0,0,0
2018-10-31,2018q3,002839.XSHE,2018q3,1,231307290.522000,110.2591,51.6339,66002969.400000,1,0,0
2018-10-31,2018q3,600919.XSHG,2018q3,1,218186787.500000,749.2348,389.9339,55192745.650000,1,1,1
2018-10-31,2018q3,601128.XSHG,2018q3,1,156266864.000000,147.1486,66.018,41954324.850000,0,1,0
2018-10-31,2018q3,601166.XSHG,2018q3,1,975022440.300000,3348.7995,3071.2367,94239162.050000,1,1,1
2018-10-31,2018q3,601229.XSHG,2018q3,1,294805378.350000,1334.3209,634.38,50176799.150000,1,1,1
2018-10-31,2018q3,601328.XSHG,2018q3,1,500872498.600000,4455.7636,2355.0518,134256675.750000,1,1,1
2018-10-31,2018q3,601939.XSHG,2018q3,1,779433507.400000,17875.7849,685.9465,163542008.300000,1,1,1
2018-10-31,2018q3,601988.XSHG,2018q3,1,549952913.900000,10951.2258,7840.4772,227359814.500000,1,1,1
2018-10-31,2018q3,601997.XSHG,2018q3,1,163989147.350000,274.222,147.8085,28705890.650000,1,1,1
2018-10-31,2018q3,601998.XSHG,2018q3,1,171823322.650000,2896.94,1888.7857,43900126.300000,1,1,1
2019-04-30,2019q1,002936.XSHE,2018q4,1,194014192.575000,322.1531,32.64,46184597.850000,0,1,0
2019-04-30,2019q1,600000.XSHG,2018q4,1,630672074.950000,3513.444,3364.0205,72727073.900000,1,1,1
2019-04-30,2019q1,600015.XSHG,2018q4,1,484161443.050000,1234.0554,1028.3795,82184555.600000,1,1,1
2019-04-30,2019q1,600016.XSHG,2018q4,1,1029863578.950000,2802.0748,2269.5759,237009154.450000,1,1,1
2019-04-30,2019q1,600036.XSHG,2018q4,1,2171372877.150000,8688.2368,7106.6714,83597195.450000,1,1,1
2019-04-30,2019q1,601328.XSHG,2018q4,1,1108829228.850000,4648.8467,2457.1041,272044735.700000,1,1,1
2019-04-30,2019q1,601398.XSHG,2018q4,1,1748207177.350000,20707.2035,15664.4695,451799364.350000,1,1,1
2019-04-30,2019q1,601939.XSHG,2018q4,1,1264952205.500000,18600.8167,713.7681,251498235.950000,1,1,1
2019-04-30,2019q1,601988.XSHG,2018q4,1,765954478.600000,11451.6851,8198.7785,293784155.500000,1,1,1
2019-04-30,2019q1,601997.XSHG,2018q4,1,509124401.950000,316.2862,170.4816,72881067.300000,1,1,1
2019-04-30,2019q1,002142.XSHE,2019q1,1,531391716.578500,1192.7659,1060.4641,28139157.700000,1,1,1
2019-04-30,2019q1,002807.XSHE,2019q1,1,140567636.221000,110.3278,46.377,39721221.950000,0,0,0
2019-04-30,2019q1,002839.XSHE,2019q1,1,249358443.369500,117.3085,55.7987,57515558.850000,0,0,0
2019-04-30,2019q1,600908.XSHG,2019q1,1,115046306.300000,118.4716,52.3201,22130691.050000,0,0,0
2019-04-30,2019q1,600919.XSHG,2019q1,1,356319823.950000,847.3626,441.0038,77688069.550000,1,1,1
2019-04-30,2019q1,601128.XSHG,2019q1,1,481770017.300000,204.7428,104.7388,99129650.200000,1,1,1
2019-04-30,2019q1,601169.XSHG,2019q1,1,515671867.550000,1346.8081,1162.3983,122805047.450000,1,1,1
2019-04-30,2019q1,601229.XSHG,2019q1,1,478538790.350000,1384.5901,658.2797,76598536.450000,1,1,1
2019-04-30,2019q1,601288.XSHG,2019q1,1,1518439235.700000,13159.3621,11056.4791,613332943.150000,1,1,1
2019-04-30,2019q1,601577.XSHG,2019q1,1,263581030.500000,362.6847,36.2685,32137064.100000,1,1,1
2019-04-30,2019q1,601818.XSHG,2019q1,1,695849548.750000,2188.8035,1660.1002,249110421.800000,1,1,1
2019-04-30,2019q1,601838.XSHG,2019q1,1,311254824.650000,341.3578,176.397,46122014.700000,1,1,1
2019-04-30,2019q1,601998.XSHG,2019q1,1,399110459.750000,3077.9987,2006.8348,92074148.400000,1,1,1
2019-04-30,2019q1,603323.XSHG,2019q1,1,271548493.750000,114.39,55.6773,54632143.800000,1,0,0
2019-10-31,2019q3,002807.XSHE,2019q3,1,63612158.247500,95.5671,94.9357,21322845.300000,0,0,0
2019-10-31,2019q3,002839.XSHE,2019q3,1,188727903.968000,105.923,50.7253,50433469.600000,1,0,0
2019-10-31,2019q3,002936.XSHE,2019q3,1,94199989.547000,276.5542,69.7919,27031819.200000,0,1,0
2019-10-31,2019q3,600000.XSHG,2019q3,1,759625048.050000,3671.9453,3515.7809,78283080.900000,1,1,1
2019-10-31,2019q3,600919.XSHG,2019q3,1,278136962.950000,816.1947,806.387,59783572.300000,1,1,1
2019-10-31,2019q3,601128.XSHG,2019q3,1,417170063.000000,235.1654,220.9425,83549267.950000,1,1,1
2019-10-31,2019q3,601166.XSHG,2019q3,1,1416337171.800000,3888.9285,3566.5974,110480753.050000,1,1,1
2019-10-31,2019q3,601169.XSHG,2019q3,1,327422899.600000,1171.3213,1010.9398,85007256.650000,1,1,1
2019-10-31,2019q3,601229.XSHG,2019q3,1,343791718.100000,1325.4691,630.1716,53284696.800000,1,1,1
2019-10-31,2019q3,601288.XSHG,2019q3,1,782927930.600000,12739.3824,10703.6127,320330575.450000,1,1,1
2019-10-31,2019q3,601328.XSHG,2019q3,1,466354369.700000,4166.139,2201.9735,122035658.500000,1,1,1
2019-10-31,2019q3,601398.XSHG,2019q3,1,859020746.950000,21063.6098,15934.0818,215444712.750000,1,1,1
2019-10-31,2019q3,601577.XSHG,2019q3,1,128999924.400000,302.4654,87.9874,18957638.700000,0,1,0
2019-10-31,2019q3,601997.XSHG,2019q3,1,171329174.800000,294.1278,280.5833,26999244.150000,1,1,1
2019-10-31,2019q3,601998.XSHG,2019q3,1,247321918.750000,2999.7038,1955.7873,58310568.850000,1,1,1
2019-10-31,2019q3,603323.XSHG,2019q3,1,133430596.950000,94.3003,45.9085,33779901.450000,1,0,0
2020-04-30,2020q1,600015.XSHG,2019q4,1,90835370.810000,1009.4019,841.1682,19914952.000000,1,1,1
2020-04-30,2020q1,600016.XSHG,2019q4,1,392859346.176500,2578.7844,2088.7191,97339659.350000,1,1,1
2020-04-30,2020q1,600036.XSHG,2019q4,1,1207025010.596000,8849.6438,7238.6966,48568379.100000,1,1,1
2020-04-30,2020q1,600908.XSHG,2019q4,1,35644152.083500,93.5221,85.8605,8953017.150000,0,0,0
2020-04-30,2020q1,601577.XSHG,2019q4,1,66549812.404500,268.592,78.1336,11339549.450000,1,1,1
2020-04-30,2020q1,601988.XSHG,2019q4,1,257279216.666500,10244.6951,7334.6399,105198443.000000,1,1,1
2020-04-30,2020q1,002142.XSHE,2020q1,1,774425085.185500,1466.1798,1464.4197,39473865.150000,1,1,1
2020-04-30,2020q1,002807.XSHE,2020q1,1,39381386.745000,90.1377,89.5233,14313641.200000,0,0,0
2020-04-30,2020q1,002839.XSHE,2020q1,1,198426877.072500,99.0551,72.8259,55896714.900000,1,0,0
2020-04-30,2020q1,002936.XSHE,2020q1,1,42624717.600000,227.9944,57.9746,15190798.700000,0,1,0
2020-04-30,2020q1,002948.XSHE,2020q1,1,35271988.793500,224.1316,30.0686,9701503.500000,0,0,0
2020-04-30,2020q1,002958.XSHE,2020q1,1,143062957.565000,247.2222,119.8024,38445373.400000,1,1,1
2020-04-30,2020q1,002966.XSHE,2020q1,1,122221431.573000,286.6667,28.6667,20502363.000000,1,1,1
2020-04-30,2020q1,600000.XSHG,2020q1,1,211185939.178500,3120.1261,2987.4301,26985900.800000,1,1,1
2020-04-30,2020q1,600919.XSHG,2020q1,1,182211073.882500,697.2881,688.9093,46863567.450000,1,1,1
2020-04-30,2020q1,600928.XSHG,2020q1,1,59489770.437500,241.3333,62.751,13315285.350000,0,1,0
2020-04-30,2020q1,601077.XSHG,2020q1,1,70946849.747000,570.1214,68.1214,19960319.550000,1,1,1
2020-04-30,2020q1,601128.XSHG,2020q1,1,194659332.924500,195.6971,183.8612,47100765.150000,1,0,0
2020-04-30,2020q1,601166.XSHG,2020q1,1,761343542.456000,3452.6705,3260.0546,68979240.250000,1,1,1
2020-04-30,2020q1,601169.XSHG,2020q1,1,212787386.807000,1052.9206,908.7509,63814924.650000,1,1,1
2020-04-30,2020q1,601229.XSHG,2020q1,1,93097158.621500,1160.6734,1083.4876,16875746.200000,1,1,1
2020-04-30,2020q1,601288.XSHG,2020q1,1,356387924.260500,12109.413,10174.3132,152769429.000000,1,1,1
2020-04-30,2020q1,601328.XSHG,2020q1,1,236957822.565000,3846.8092,2033.1948,67524949.800000,1,1,1
2020-04-30,2020q1,601398.XSHG,2020q1,1,544135973.030500,18426.2035,13938.9514,152890322.500000,1,1,1
2020-04-30,2020q1,601658.XSHG,2020q1,1,102585686.541500,4540.2809,155.2424,26966458.950000,1,1,1
2020-04-30,2020q1,601818.XSHG,2020q1,1,310079389.076500,1957.8521,1484.9352,124633789.400000,1,1,1
2020-04-30,2020q1,601838.XSHG,2020q1,1,88658881.742500,279.9495,146.8007,15582724.950000,1,1,1
2020-04-30,2020q1,601916.XSHG,2020q1,1,92853385.023500,867.7628,84.3567,31754814.700000,1,1,1
2020-04-30,2020q1,601939.XSHG,2020q1,1,327207032.316000,16075.7059,616.8722,72867729.250000,1,1,1
2020-04-30,2020q1,601997.XSHG,2020q1,1,115686720.599500,254.2243,242.5173,21137335.050000,1,1,1
2020-04-30,2020q1,601998.XSHG,2020q1,1,72565837.467000,2544.6105,1659.0696,20278272.450000,1,1,1
2020-04-30,2020q1,603323.XSHG,2020q1,1,59374274.454500,80.0561,60.4811,18476013.850000,0,0,0
2020-08-31,2020q2,002142.XSHE,2020q2,1,1399259278.617500,2132.8458,1995.3874,49804840.100000,1,1,1
2020-08-31,2020q2,002807.XSHE,2020q2,1,88778656.239500,93.8301,93.0486,29653141.200000,0,0,0
2020-08-31,2020q2,002839.XSHE,2020q2,1,339599181.465500,113.7205,83.5795,81608744.600000,1,0,0
2020-08-31,2020q2,002948.XSHE,2020q2,1,85178358.437000,234.5039,31.4627,21701689.150000,0,1,0
