rebalance_date,quarter_key,code,active_quarter_key,avg_traded_amount_lookback,avg_traded_volume_lookback,market_cap,circulating_market_cap,y_quarter_avg_daily_return_close,y_quarter_end_date,y_year_avg_daily_return_close,y_year_end_date,derived__log_total_assets,derived__staff_cash_to_operating_revenue,derived__investment_income_to_operating_revenue
2020-09-01,2020q2,601997.XSHG,2020q2,296789619.340500,48772320.200000,261.6257,251.704,-0.0013954451,2020-11-02,-0.0004859905,2021-11-01,27.0720564897,0.1118497090,0.1440922383
2020-11-02,2020q3,000001.XSHE,2020q3,2068538019.147500,153127042.250000,3421.2634,3421.2342,0.0025361926,2021-05-06,-0.0001304804,2022-05-05,29.1004888943,0.0926875196,0.0072706350
2020-11-02,2020q3,002142.XSHE,2020q3,1231931898.575000,42492135.300000,2013.8871,1884.0954,0.0021964795,2021-05-06,0.0006523450,2022-05-05,28.0639891837,0.1863720825,0.0464084167
2020-11-02,2020q3,002958.XSHE,2020q3,185198325.891500,41128677.800000,258.8889,125.456,-0.0005784260,2021-05-06,-0.0007880566,2022-05-05,26.6950741651,0.1656157474,0.1479491246
2020-11-02,2020q3,002966.XSHE,2020q3,130816245.771000,23526174.900000,247.6667,120.7075,-0.0000612103,2021-05-06,0.0001331583,2022-05-05,26.6807643398,0.1218007268,0.1394853456
2020-11-02,2020q3,600000.XSHG,2020q3,475604722.281000,61499486.200000,2715.0724,2715.0724,0.0007858774,2021-05-06,-0.0002188367,2022-05-05,29.6689215244,0.1197700955,0.0557645169
2020-11-02,2020q3,600015.XSHG,2020q3,131691849.654000,28706988.850000,930.9271,775.7725,0.0002110461,2021-05-06,-0.0001827391,2022-05-05,28.8344863915,0.1361036485,0.0166825548
2020-11-02,2020q3,600016.XSHG,2020q3,465296421.980500,116339801.800000,2246.0381,1819.2069,-0.0007191912,2021-05-06,-0.0007650046,2022-05-05,29.5664515440,0.1288346272,0.0493220976
2020-11-02,2020q3,600036.XSHG,2020q3,2512538687.097000,82449213.650000,10150.9879,8303.1501,0.0023825934,2021-05-06,0.0001696051,2022-05-05,29.7298607913,0.1128125128,0.0562146777
2020-11-02,2020q3,600919.XSHG,2020q3,284358539.291000,65911745.550000,689.2074,682.3872,0.0019993033,2021-05-06,0.0009912242,2022-05-05,28.4488823204,0.1087907707,0.1235021670
2020-11-02,2020q3,600926.XSHG,2017q4,460761234.265000,43520898.950000,799.984,680.0795,0.0022057773,2021-05-06,0.0007180432,2022-05-05,27.4487060327,0.1555911174,0.1402610484
2020-11-02,2020q3,601009.XSHG,2020q3,302914939.122500,50094007.100000,759.5326,643.7996,0.0017579223,2021-05-06,0.0014379410,2022-05-05,28.0332163739,0.1624077999,0.0839151786
2020-11-02,2020q3,601166.XSHG,2020q3,2204734443.485500,176016351.650000,3697.806,3491.5146,0.0020942405,2021-05-06,0.0007130702,2022-05-05,29.6617369851,0.1228605648,0.1011861067
2020-11-02,2020q3,601169.XSHG,2020q3,206698171.891500,58928514.150000,989.4917,854.0069,0.0001722452,2021-05-06,0.0000860826,2022-05-05,28.6848616060,0.1089457931,0.1161955437
2020-11-02,2020q3,601229.XSHG,2020q3,251201893.994500,43544173.000000,1113.7919,1065.9376,0.0004268340,2021-05-06,-0.0003514803,2022-05-05,28.5246442128,0.0925019852,0.1294425997
2020-11-02,2020q3,601288.XSHG,2020q3,621818486.070500,270869954.100000,11094.4622,9321.5528,0.0001023913,2021-05-06,0.0000942306,2022-05-05,30.9377888733,0.1779382921,0.0249761114
2020-11-02,2020q3,601328.XSHG,2020q3,460717773.286500,139332594.900000,3349.249,1770.214,0.0005424554,2021-05-06,0.0004884569,2022-05-05,30.0101570734,0.1044585118,0.0393127101
2020-11-02,2020q3,601398.XSHG,2020q3,1038066448.533000,284926849.300000,17606.4691,13318.8433,0.0003553280,2021-05-06,0.0000775974,2022-05-05,31.1417259329,0.1288684708,0.0316290503
2020-11-02,2020q3,601577.XSHG,2020q3,127339866.006000,17373623.800000,304.8604,88.6841,0.0002925113,2021-05-06,-0.0002657083,2022-05-05,27.2515884059,0.1346877216,0.0523682842
2020-11-02,2020q3,601658.XSHG,2020q3,225205880.105000,63679445.450000,4079.2946,181.9309,0.0009434779,2021-05-06,0.0007798498,2022-05-05,30.0410193964,0.1655105339,0.0352703920
