code,statement_family,report_period_end,quarter_key,year_key,pub_date,standard_field_name,standard_value,source_table,source_field,period_basis,transformation_rule,missing_reason
601998.XSHG,income,2018-09-30,2018q3,,2018-10-26,commission_income,12171000000.0,finance_income_statement_current_only.csv,commission_income,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-09-30,2018q3,,2018-10-26,commission_expense,1429000000.0,finance_income_statement_current_only.csv,commission_expense,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-09-30,2018q3,,2018-10-26,asset_impairment_loss,15202000000.0,finance_income_statement_current_only.csv,asset_impairment_loss,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-09-30,2018q3,,2018-10-26,credit_impairment_loss,,finance_income_statement_current_only.csv,credit_impairment_loss,,identity_q1_or_ytd_diff,missing_raw_value
601998.XSHG,income,2018-09-30,2018q3,,2018-10-26,investment_income,1082000000.0,finance_income_statement_current_only.csv,investment_income,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-09-30,2018q3,,2018-10-26,operating_profit,13546000000.0,finance_income_statement_current_only.csv,operating_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-09-30,2018q3,,2018-10-26,total_profit,13573000000.0,finance_income_statement_current_only.csv,total_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-09-30,2018q3,,2018-10-26,income_tax_expense,2276000000.0,finance_income_statement_current_only.csv,income_tax_expense,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-09-30,2018q3,,2018-10-26,net_profit,11297000000.0,finance_income_statement_current_only.csv,net_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-09-30,2018q3,,2018-10-26,np_parent_company_owners,11078000000.0,finance_income_statement_current_only.csv,np_parent_company_owners,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-09-30,2018q3,,2018-10-26,minority_profit,219000000.0,finance_income_statement_current_only.csv,minority_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-12-31,2018q4,,2019-03-27,operating_revenue,43470000000.0,finance_income_statement_current_only.csv,operating_revenue,converted_from_ytd,identity_q1_or_ytd_diff,
