factor_name,factor_family,layer,direction,target_label,train_rank_ic_mean,test_rank_ic_mean,train_positive_ic_ratio,test_positive_ic_ratio,train_top_minus_bottom,test_top_minus_bottom,keep_flag,keep_reason,priority_score,fold_id,train_anchor_years
bank_indicator__Nonperforming_loan_rate,bank_indicator,base_core,smaller_better,y_year_avg_daily_return_close,0.256322,-0.411422,0.826087,0.0,0.00038194,-0.00043965,0,fail_threshold_rule,-411.42244,expanding_03,7
bank_indicator__non_performing_loan_provision_coverage,bank_indicator,base_core,larger_better,y_year_avg_daily_return_close,0.165472,-0.290812,0.652174,0.0,0.00017559,-0.00045738,0,fail_threshold_rule,-290.812457,expanding_03,7
bank_indicator__deposit_loan_ratio,bank_indicator,base_core,smaller_better,y_year_avg_daily_return_close,0.183065,0.057855,0.826087,0.666667,0.00028752,-2.055e-05,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,64.521649,expanding_03,7
bank_indicator__capital_adequacy_ratio,bank_indicator,base_core,larger_better,y_year_avg_daily_return_close,0.138938,0.26653,0.608696,1.0,0.00026292,0.00037497,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,276.530375,expanding_03,7
improve__annual_delta__bank_indicator__Nonperforming_loan_rate,improvement_bank_indicator,improvement_layer,smaller_better,y_year_avg_daily_return_close,0.152477,-0.151701,0.75,0.5,0.00020909,-0.0002348,0,fail_threshold_rule,-146.701235,expanding_03,7
improve__snapshot_delta__derived__investment_income_to_operating_revenue,improvement_derived,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.081699,-0.059679,0.571429,0.333333,0.00032322,-0.00028478,0,fail_threshold_rule,-56.345955,expanding_03,7
bank_indicator__non_interest_income_ratio,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,0.05954,-0.301408,0.652174,0.0,8.524e-05,-0.00042368,0,fail_threshold_rule,-301.408424,expanding_03,7
bank_indicator__net_interest_margin,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,0.134624,-0.419069,0.695652,0.0,0.00014431,-0.00054413,0,fail_threshold_rule,-419.069544,expanding_03,7
indicator__inc_net_profit_to_shareholders_annual,indicator,watch_layer,larger_better,y_quarter_avg_daily_return_close,0.025023,0.068564,0.545455,0.833333,-0.00012165,0.00014601,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,76.897476,expanding_03,7
bank_indicator__cost_to_income_ratio,bank_indicator,watch_layer,smaller_better,y_year_avg_daily_return_close,0.000567,0.062634,0.434783,0.666667,-1.573e-05,0.00018524,0,pass_train_ic_and_test_ic_positive_ratio_and_structure|dropped_by_layer_caps,69.300855,expanding_03,7
bank_indicator__core_level_capital_adequacy_ratio,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,0.039272,0.301844,0.478261,1.0,7.006e-05,0.00033642,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,311.844336,expanding_03,7
derived__investment_income_to_operating_revenue,derived,watch_layer,larger_better,y_quarter_avg_daily_return_close,0.02111,-0.156085,0.5,0.166667,2.66e-05,-7.152e-05,0,fail_threshold_rule,-154.418402,expanding_03,7
improve__annual_delta__bank_indicator__capital_adequacy_ratio,improvement_bank_indicator,improvement_layer,smaller_better,y_year_avg_daily_return_close,0.213173,-0.14342,0.75,0.166667,0.00024141,-0.00014102,0,fail_threshold_rule,-141.753471,expanding_03,7
improve__season_yoy_delta__derived__staff_cash_to_operating_revenue,improvement_derived,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.082399,-0.099831,0.611111,0.166667,0.00036078,-0.00014851,0,fail_threshold_rule,-98.164479,expanding_03,7
improve__snapshot_delta__indicator__inc_net_profit_to_shareholders_annual,improvement_indicator,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.061948,-0.082594,0.571429,0.333333,0.00022685,-0.00029979,0,fail_threshold_rule,-79.26097,expanding_03,7
