code,statement_family,report_period_end,quarter_key,year_key,pub_date,standard_field_name,standard_value,source_table,source_field,period_basis,transformation_rule,missing_reason
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,inc_net_profit_year_on_year,1.42,indicator.csv,inc_net_profit_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,inc_net_profit_annual,-11.68,indicator.csv,inc_net_profit_annual,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,inc_net_profit_to_shareholders_year_on_year,1.06,indicator.csv,inc_net_profit_to_shareholders_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,inc_net_profit_to_shareholders_annual,-12.16,indicator.csv,inc_net_profit_to_shareholders_annual,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,eps,0.3248,indicator.csv,eps,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,adjusted_profit,3133568000.0,indicator.csv,adjusted_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,operating_profit,4002909000.0,indicator.csv,operating_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,value_change_profit,737560000.0,indicator.csv,value_change_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,roe,3.18,indicator.csv,roe,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,inc_return,3.18,indicator.csv,inc_return,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,roa,0.27,indicator.csv,roa,quarterly_direct,identity_q1_or_ytd_diff,
