trade_seq,code,display_name,listed_start,listed_days,listed_trading_days,open,close,high,low,volume,money,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio,daily_return_close,mom_1m,mom_3m,mom_6m,mom_12m,mom_12_1,mom_6_1,liq_money_1m,liq_turnover_1m,price_history_1m_ready,price_history_3m_ready,price_history_6m_ready,price_history_12m_ready,price_history_12_1_ready,liquidity_1m_ready,momentum_core_ready_v1,rebalance_date,quarter_key,next_rebalance_date,next_rebalance_close,y_quarter_total_return_close,y_quarter_avg_daily_return_close,avg_money_20d_pre_rebalance,avg_market_cap_20d_pre_rebalance,liquidity_top_80_flag,market_cap_top_80_flag,rebalance_stock_pool_flag
1179,002142.XSHE,宁波银行,2007-07-19,4123,1179,14.56,14.37,14.81,14.3,31619826.0,457998103.16,0.5595,913.5803,812.2109,8.3895,1.489,-0.0041580041580041,-0.0020833333333334,0.0315865039483129,0.0084210526315788,0.0458515283842793,0.0480349344978165,0.0105263157894737,383589779.741,0.483545,1,1,1,1,1,1,1,2018-11-01,2018q3,2019-05-06,17.54,0.22059846903270697,0.0018123631855066825,383589779.741,888.0765850000001,1,1,1
1179,002807.XSHE,江阴银行,2016-09-02,790,525,2.95,2.94,3.06,2.93,35300665.0,105491475.1,2.6763,95.2634,38.719,11.3947,0.9961,-0.0033898305084746,-0.0134228187919462,-0.0485436893203883,-0.1945205479452054,-0.3887733887733887,-0.3804573804573804,-0.1835616438356164,79978432.72099999,2.087215,1,1,1,1,1,1,1,2018-11-01,2018q3,2019-05-06,3.27,0.11224489795918369,0.0011349476288996477,79978432.721,92.43524499999998,0,0,0
1179,002839.XSHE,张家港行,2017-01-24,646,431,3.73,3.73,3.93,3.71,126046621.0,477816877.2,9.2066,108.9939,51.0414,12.8465,1.2173,-0.0106100795755967,0.0657142857142856,0.010840108401084,-0.2212943632567849,-0.5,-0.5308310991957105,-0.2693110647181628,266038953.1605,5.48484,1,1,1,1,1,1,1,2018-11-01,2018q3,2019-05-06,3.96,0.06166219839142095,0.0008125714587449259,266038953.1605,99.0163,1,0,0
1179,002936.XSHE,郑州银行,2018-09-19,43,26,4.06,4.03,4.16,4.02,119544083.0,487654072.17,14.0166,339.3267,34.38,7.7756,1.1447,-0.0146699266503667,-0.1707818930041152,,,,,,467406795.99350005,13.428515,1,0,0,0,0,1,0,2018-11-01,2018q3,2019-05-06,3.76,-0.06699751861042191,-0.00024931472115368814,467406795.99349993,341.07365999999996,1,1,1
1179,600000.XSHG,浦发银行,1999-11-10,6931,1179,8.21,8.09,8.24,8.07,31631703.0,257781673.0,0.0836,3196.4416,3060.4999,5.7518,0.7513,-0.0085784313725491,0.0385109114249035,0.0991847826086955,0.0049689440993787,-0.1225596529284165,-0.1550976138828633,-0.0322981366459628,328683785.35,0.111305,1,1,1,1,1,1,1,2018-11-01,2018q3,2019-05-06,8.77,0.08405438813349808,0.0007795326680403463,328683785.35,3068.02621,1,1,1
1179,600015.XSHG,华夏银行,2003-09-12,5529,1179,5.53,5.47,5.56,5.47,45694201.0,252238273.0,0.2459,1016.8391,1016.8391,5.0576,0.6319,-0.0090579710144926,-0.0232142857142857,0.058027079303675,-0.0470383275261324,-0.1032786885245901,-0.081967213114754,-0.0243902439024391,287897353.3,0.28535,1,1,1,1,1,1,1,2018-11-01,2018q3,2019-05-06,5.31,-0.029250457038391242,-0.00015300001243832381,287897353.3,1006.5809000000002,1,1,1
1179,600016.XSHG,民生银行,2000-12-19,6526,1179,4.26,4.18,4.26,4.18,132994125.0,561106675.0,0.2495,2753.9141,2230.5676,5.2701,0.686,-0.0164705882352942,0.0023980815347721,0.0555555555555555,-0.0346420323325635,-0.0853391684901533,-0.0875273522975931,-0.0369515011547344,490657026.6,0.22243,1,1,1,1,1,1,1,2018-11-01,2018q3,2019-05-06,4.14,-0.009569377990430672,-1.2008009832297646e-05,490657026.6,2713.634295,1,1,1
1179,600036.XSHG,招商银行,2002-04-09,6050,1179,21.71,21.42,21.86,21.13,92593750.0,1983324170.0,0.3309,7326.3651,5992.7084,9.3063,1.4904,0.005161895823557,-0.0450289790459205,0.0423357664233576,0.0108541764983483,0.1098445595854922,0.1621761658031086,0.0585181689476166,1801956022.75,0.300015,1,1,1,1,1,1,1,2018-11-01,2018q3,2019-05-06,25.0,0.1671335200746964,0.0014412088301949803,1801956022.75,7345.40613,1,1,1
1179,600908.XSHG,无锡银行,2016-09-23,769,512,4.35,4.38,4.59,4.33,28996064.0,128895438.0,2.7784,104.9761,45.6892,9.6661,1.0566,0.0138888888888888,-0.009049773755656,-0.0288248337028824,-0.1560693641618498,-0.3166926677067083,-0.3104524180967238,-0.1483622350674375,78314825.65,1.768945,1,1,1,1,1,1,1,2018-11-01,2018q3,2019-05-06,4.73,0.07990867579908678,0.0008960140427543407,78314825.65,100.05027500000001,0,0,0
1179,600919.XSHG,江苏银行,2016-08-02,821,548,4.07,4.06,4.13,4.06,57677350.0,235926883.0,0.6017,748.0804,389.3331,5.7781,0.7507,-0.0024570024570026,0.0124688279301745,0.0357142857142855,-0.0835214446952595,-0.1680327868852459,-0.1782786885245901,-0.0948081264108352,222474649.1,0.5859650000000001,1,1,1,1,1,1,1,2018-11-01,2018q3,2019-05-06,4.58,0.1280788177339902,0.001104646035793592,222474649.1,723.8947450000001,1,1,1
1179,600926.XSHG,杭州银行,2016-10-27,735,493,6.09,6.08,6.17,6.07,31436100.0,192306989.0,1.1554,407.3379,165.2829,7.6899,0.8882,-0.0049099836333879,0.0357751277683133,0.0,-0.0113821138211382,-0.127690100430416,-0.1578192252510759,-0.0455284552845528,153699585.65,0.942155,1,1,1,1,1,1,1,2018-11-01,2018q3,2019-05-06,6.62,0.08881578947368429,0.0008489215443961138,153699585.65,398.28310999999997,0,1,0
1179,601009.XSHG,南京银行,2007-07-19,4123,1179,4.95,4.86,4.96,4.86,180272854.0,884848744.0,1.4334,610.719,610.719,5.65,0.942,-0.0161943319838057,-0.0451866404715126,-0.022132796780684,-0.1211573236889692,-0.0279999999999999,0.018,-0.0795660036166365,398850442.0,0.63966,1,1,1,1,1,1,1,2018-11-01,2018q3,2019-05-06,5.6,0.15226337448559657,0.0013201408379783699,398850442.0,623.1878100000001,1,1,1
1179,601128.XSHG,常熟银行,2016-09-30,762,507,3.94,3.91,4.02,3.88,48414156.0,190637743.0,2.8671,147.1486,66.018,9.8718,1.2803,0.0,0.0831024930747923,0.1466275659824047,-0.0126262626262625,-0.131111111111111,-0.1977777777777778,-0.0883838383838384,166139882.55,2.62503,1,1,1,1,1,1,1,2018-11-01,2018q3,2019-05-06,4.68,0.19693094629156005,0.0018069404928636782,166139882.55,136.76795499999997,1,0,0
1179,601166.XSHG,兴业银行,2007-02-05,4287,1179,10.71,10.56,10.74,10.53,92533378.0,984353913.0,0.3221,3309.3286,3035.0372,5.4563,0.7723,-0.012160898035547,0.0183220829315333,0.0465807730426164,0.0193050193050194,-0.0276243093922651,-0.0451197053406998,0.0009652509652509,967041817.2,0.32469,1,1,1,1,1,1,1,2018-11-01,2018q3,2019-05-06,12.83,0.2149621212121211,0.0017689871360750912,967041817.2,3236.41118,1,1,1
1179,601169.XSHG,北京银行,2007-09-19,4061,1179,4.04,4.02,4.06,4.01,69491973.0,280334017.0,0.2513,1287.6077,1111.3039,6.4887,0.759,0.0024937655860348,0.0125944584382871,0.0334190231362465,-0.0672853828306264,-0.1279826464208244,-0.1388286334056399,-0.0788863109048723,270133820.45,0.24987,1,1,1,1,1,1,1,2018-11-01,2018q3,2019-05-06,4.1,0.01990049751243772,0.00023789034417847762,270133820.45,1248.0703649999998,1,1,1
