fold_id,candidate_name,rebalance_date,train_start,validation_start,validation_end,formula,universe_count,state_score,low_cut,high_cut,state_bucket,fundamental_budget,momentum_budget,portfolio_return,invested_weight,cash_weight,fundamental_stock_count,momentum_stock_count,final_stock_count,overlap_stock_count
fold_02,severe_plus_mean,2019-09-02,2014-09-01,2019-09-02,2020-09-01,- 1.0*severe_deterioration_ratio + 1.0*score_delta_mean,13,1.401644,-0.645651,0.71411,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_02,severe_plus_bottom,2019-09-02,2014-09-01,2019-09-02,2020-09-01,- 1.0*severe_deterioration_ratio + 1.0*score_delta_bottom_quartile_mean,13,0.773327,-0.015239,0.559735,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_02,mean_plus_bottom,2019-09-02,2014-09-01,2019-09-02,2020-09-01,+ 1.0*score_delta_mean + 1.0*score_delta_bottom_quartile_mean,13,0.930556,-0.294315,0.324085,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_02,median_plus_bottom,2019-09-02,2014-09-01,2019-09-02,2020-09-01,+ 1.0*score_delta_median + 1.0*score_delta_bottom_quartile_mean,13,0.907502,-0.226333,0.418754,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_02,breadth_mean_bottom,2019-09-02,2014-09-01,2019-09-02,2020-09-01,- 1.0*deterioration_ratio + 1.0*score_delta_mean + 1.0*score_delta_bottom_quartile_mean,13,1.496142,-0.610163,0.604292,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_02,breadth_median_bottom,2019-09-02,2014-09-01,2019-09-02,2020-09-01,- 1.0*deterioration_ratio + 1.0*score_delta_median + 1.0*score_delta_bottom_quartile_mean,13,1.452177,-0.437562,0.70852,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_02,breadth_mean_stdneg,2019-09-02,2014-09-01,2019-09-02,2020-09-01,- 1.0*deterioration_ratio + 1.0*score_delta_mean - 1.0*score_delta_std,13,1.564497,-0.442068,0.641026,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_02,fixed_blend_60_40,2019-11-01,2014-09-01,2019-09-02,2020-09-01,fixed_60_40,14,<NA>,<NA>,<NA>,fixed,0.6,0.4,-0.0009460834,0.932308,0.067692,14,14,14,14
fold_02,v1_base,2019-11-01,2014-09-01,2019-09-02,2020-09-01,- 1.0*deterioration_ratio + 1.0*score_delta_mean + 1.0*score_delta_bottom_quartile_mean,14,-0.865911,-0.610163,0.604292,weak_down,1.0,0.0,-0.0006859661,0.7,0.3,14,0,14,0
fold_02,breadth_only,2019-11-01,2014-09-01,2019-09-02,2020-09-01,- 1.0*deterioration_ratio,14,-0.840576,-0.33596,0.431055,weak_down,1.0,0.0,-0.0006859661,0.7,0.3,14,0,14,0
