trade_seq,code,display_name,listed_start,listed_days,listed_trading_days,open,close,high,low,volume,money,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio,daily_return_close,mom_1m,mom_3m,mom_6m,mom_12m,mom_12_1,mom_6_1,liq_money_1m,liq_turnover_1m,price_history_1m_ready,price_history_3m_ready,price_history_6m_ready,price_history_12m_ready,price_history_12_1_ready,liquidity_1m_ready,momentum_core_ready_v1,mom_3_1,price_history_3_1_ready,price_history_6_1_ready,price_history_12_1_ready_v2,momentum_monthly_ready_v2,rev_5d,rev_10d,rev_20d,close_to_ma20,intramonth_drawdown_20d,avg_money_20d,avg_turnover_20d,avg_mcap_20d,volatility_20d,down_day_ratio_20d,abnormal_volume_ratio,price_history_5d_ready,price_history_10d_ready,price_history_20d_ready,excess_rev_5d,excess_rev_10d,mean_reversion_ready_v1,month_key,rebalance_date,next_rebalance_date,next_rebalance_close,y_month_total_return_close
1055,603323.XSHG,苏农银行,2016-11-29,519,346,4.18,4.14,4.2,4.1,12730795.0,52736565.0,1.1855,106.1446,44.4878,14.0399,1.2375,-0.0048076923076924,-0.0758928571428573,-0.2445255474452555,-0.2567324955116697,-0.5077288941736029,-0.4673008323424494,-0.1956912028725314,60030074.95,1.29567,1,1,1,1,1,1,1,-0.1824817518248175,1,1,1,1,-0.0071942446043166,-0.0304449648711943,-0.0758928571428573,-0.0358639962738704,-0.08,60030074.95,1.29567,110.010965,0.0144058993156366,0.55,0.8785024014033819,1,1,1,-0.0131226998746147,-0.0278825940475577,1,2018-05,2018-05-02,2018-06-01,4.07,-0.016908212560386326
1077,000001.XSHE,平安银行,1991-04-03,9921,1077,7.77,7.8,7.88,7.71,78022334.0,608398867.46,0.3478,1749.6649,1749.6481,7.4233,0.86,0.0012836970474967,-0.0452876376988984,-0.1409691629955947,-0.2160804020100502,0.1304347826086955,0.1840579710144927,-0.178894472361809,841565114.3185,0.4600849999999999,1,1,1,1,1,1,1,-0.1002202643171806,1,1,1,1,-0.0382244143033291,-0.0703218116805721,-0.0452876376988984,-0.051556420233463,-0.0930232558139534,841565114.3185,0.4600849999999999,1844.703145,0.0124816196043688,0.55,0.7229373664718527,1,1,1,-0.0176130382356439,-0.0323091007213753,1,2018-06,2018-06-01,2018-07-02,6.59,-0.15512820512820513
1077,002142.XSHE,宁波银行,2007-07-19,3970,1077,13.53,13.81,13.86,13.51,20647435.0,283905949.68,0.3676,875.5428,775.5171,8.9375,1.6307,0.0146950771491551,0.0036337209302326,-0.1231746031746031,-0.0198722498225691,0.2646520146520146,0.26007326007326,-0.0234208658623137,299422896.7465,0.379225,1,1,1,1,1,1,1,-0.1263492063492063,1,1,1,1,0.0058266569555718,-0.0403057678943711,0.0036337209302326,-0.0190019534718522,-0.07003367003367,299422896.7465,0.379225,892.678455,0.0144357984132629,0.45,0.948177152665659,1,1,1,0.0264380330232569,-0.0022930569351743,1,2018-06,2018-06-01,2018-07-02,12.83,-0.07096307023895732
1077,002807.XSHE,江阴银行,2016-09-02,637,423,3.41,3.39,3.44,3.36,16352459.0,55535718.57,1.2399,110.1062,44.7497,13.4813,1.1748,-0.0145348837209301,-0.053072625698324,-0.1966824644549762,-0.2330316742081447,-0.4947839046199701,-0.466467958271237,-0.1900452488687782,48432833.34550001,1.0164000000000002,1,1,1,1,1,1,1,-0.1516587677725117,1,1,1,1,-0.0583333333333333,-0.0661157024793387,-0.053072625698324,-0.054788791300711,-0.0837837837837838,48432833.34550001,1.0164000000000002,117.378845,0.0119476583142182,0.6,1.1466543403279943,1,1,1,-0.0377219572656482,-0.0281029915201419,1,2018-06,2018-06-01,2018-07-02,2.98,-0.12094395280235992
1077,002839.XSHE,张家港行,2017-01-24,493,329,4.41,4.4,4.53,4.36,39435485.0,174640022.78,2.9144,128.6959,59.5653,16.3362,1.4863,-0.0112359550561796,-0.0638297872340425,-0.2517006802721088,-0.3714285714285713,-0.542143600416233,-0.5109261186264308,-0.3285714285714285,186764249.7205,2.90411,1,1,1,1,1,1,1,-0.2006802721088435,1,1,1,1,-0.0557939914163089,-0.0736842105263156,-0.0638297872340425,-0.0643274853801167,-0.1146881287726356,186764249.7205,2.90411,138.30290999999997,0.013233139336001,0.55,0.9350827208170494,1,1,1,-0.0351826153486237,-0.0356714995671189,1,2018-06,2018-06-01,2018-07-02,3.67,-0.165909090909091
1077,600000.XSHG,浦发银行,1999-11-10,6778,1077,7.79,7.85,7.86,7.74,24975933.0,195167690.0,0.0653,3134.8022,3001.482,5.7944,0.787,0.0115979381443298,-0.013819095477387,-0.1401971522453451,-0.1728134878819811,-0.1745531019978969,-0.1629863301787592,-0.1612223393045311,243263451.15,0.08009,1,1,1,1,1,1,1,-0.1281489594742607,1,1,1,1,-0.0038071065989847,-0.0211970074812967,-0.013819095477387,-0.0132612657909623,-0.0344403444034441,243263451.15,0.08009,3175.8951,0.0075953323596245,0.5,0.8022894071319271,1,1,1,0.0168042694687003,0.0168157034779,1,2018-06,2018-06-01,2018-07-02,6.83,-0.12993630573248405
1077,600015.XSHG,华夏银行,2003-09-12,5376,1077,5.63,5.64,5.66,5.61,24920049.0,140417589.0,0.1314,1069.4121,1069.4121,5.3823,0.7023,0.0017761989342806,-0.0087873462214412,-0.1033386327503975,-0.1019108280254778,-0.0693069306930692,-0.0610561056105609,-0.0939490445859871,149661565.2,0.13791,1,1,1,1,1,1,1,-0.095389507154213,1,1,1,1,-0.0087873462214412,-0.0259067357512954,-0.0087873462214412,-0.0145028831032675,-0.032590051457976,149661565.2,0.13791,1085.05576,0.0073795563368528,0.45,0.938234133876344,1,1,1,0.0118240298462438,0.0121059752079013,1,2018-06,2018-06-01,2018-07-02,5.03,-0.10815602836879423
1077,600016.XSHG,民生银行,2000-12-19,6373,1077,4.2,4.22,4.23,4.18,71701584.0,301664019.0,0.1327,2813.0204,2278.4414,5.5642,0.7499,0.007159904534606,-0.0117096018735363,-0.0845986984815619,-0.1262939958592133,-0.0163170163170164,-0.0046620046620047,-0.1159420289855073,387177078.8,0.167055,1,1,1,1,1,1,1,-0.0737527114967463,1,1,1,1,-0.0093896713615023,-0.0254041570438799,-0.0117096018735363,-0.0156286447399114,-0.0365296803652968,387177078.8,0.167055,2860.08648,0.007687900490012,0.35,0.7791370809836277,1,1,1,0.0112217047061827,0.0126085539153167,1,2018-06,2018-06-01,2018-07-02,3.72,-0.11848341232227477
1077,600036.XSHG,招商银行,2002-04-09,5897,1077,20.55,20.42,20.69,20.35,41077463.0,841358587.0,0.1422,7212.8758,5899.8781,9.9014,1.561,-0.0063260340632602,-0.0048732943469784,-0.0511152416356875,-0.0004894762604013,0.290771175726928,0.2970922882427307,0.0044052863436123,1150834936.35,0.188625,1,1,1,1,1,1,1,-0.0464684014869888,1,1,1,1,-0.0206235011990407,-0.0611494252873562,-0.0048732943469784,-0.0325713608906784,-0.0834829443447037,1150834936.35,0.188625,7456.499555,0.0142453135754549,0.5,0.7310853715203169,1,1,1,-1.2125131355622544e-05,-0.0231367143281594,1,2018-06,2018-06-01,2018-07-02,18.16,-0.11067580803134192
1077,600908.XSHG,无锡银行,2016-09-23,616,410,5.0,4.97,5.02,4.94,7076833.0,35224547.0,0.6631,121.9756,53.0858,11.9172,1.2764,-0.006,-0.0254901960784313,-0.1561969439728353,-0.1852459016393443,-0.4886831275720165,-0.4753086419753087,-0.1639344262295081,42497765.55,0.773875,1,1,1,1,1,1,1,-0.134125636672326,1,1,1,1,-0.0311890838206627,-0.0423892100192679,-0.0254901960784313,-0.0326975476839237,-0.0587121212121213,42497765.55,0.773875,126.02295,0.0088333956946614,0.55,0.8288564479597681,1,1,1,-0.0105777077529776,-0.0043764990600712,1,2018-06,2018-06-01,2018-07-02,4.46,-0.10261569416498995
