fold_id,rebalance_date,validation_start,validation_end,code,fundamental_score,momentum_score,fundamental_weight,momentum_weight,selected_f,selected_m,selection_bucket,forward_return
fold_02,2019-11-01,2019-09-02,2020-09-01,601288.XSHG,0.4421203583710389,-0.778430291049912,0.05,0.0076923076923076945,1,1,both_selected,-0.0005088714
fold_02,2019-11-01,2019-09-02,2020-09-01,601328.XSHG,-0.17447943279299802,-0.748653676568012,0.05,0.011538461538461539,1,1,both_selected,-0.0007691666
fold_02,2019-11-01,2019-09-02,2020-09-01,601398.XSHG,0.2829366193685029,-0.4539584645662639,0.05,0.023076923076923078,1,1,both_selected,-0.0011396074
fold_02,2019-11-01,2019-09-02,2020-09-01,601818.XSHG,-0.5207627364330073,-0.4104669054080737,0.030000000000000006,0.034615384615384624,1,1,both_selected,-0.0016120191
fold_02,2019-11-01,2019-09-02,2020-09-01,601939.XSHG,0.3566657026604657,-0.42907666017423424,0.05,0.030769230769230778,1,1,both_selected,-0.0011386619
fold_02,2019-11-01,2019-09-02,2020-09-01,601988.XSHG,0.018754408092655446,-0.5067040023255176,0.05,0.019230769230769232,1,1,both_selected,-0.0005586554
fold_02,2020-05-06,2019-09-02,2020-09-01,002142.XSHE,0.5057639482722384,-0.412148135658776,0.05,0.05,1,1,both_selected,0.0041500192
fold_02,2020-05-06,2019-09-02,2020-09-01,600000.XSHG,-0.7208843192489042,-0.9116407768726502,0.007142857142857144,0.020000000000000004,1,1,both_selected,0.0006462076
fold_02,2020-05-06,2019-09-02,2020-09-01,600016.XSHG,-0.38297122799058275,-0.7311536783408331,0.021428571428571436,0.04000000000000001,1,1,both_selected,0.0003171253
fold_02,2020-05-06,2019-09-02,2020-09-01,600036.XSHG,1.0340733715407862,-0.683299489359886,0.05,0.04666666666666667,1,1,both_selected,0.001600421
fold_02,2020-05-06,2019-09-02,2020-09-01,600919.XSHG,-0.06512062859018738,-1.2278404368349158,0.04285714285714287,0.006666666666666667,1,1,both_selected,0.0017249609
fold_02,2020-05-06,2019-09-02,2020-09-01,600926.XSHG,0.16371227002952632,-0.8894610329497363,0.05,0.023333333333333334,1,1,both_selected,0.0062594209
fold_02,2020-05-06,2019-09-02,2020-09-01,601009.XSHG,0.5132726612512878,-1.0027257938012675,0.05,0.016666666666666666,1,1,both_selected,0.0019605316
fold_02,2020-05-06,2019-09-02,2020-09-01,601166.XSHG,-0.05683523033883112,-1.017491820859392,0.05000000000000002,0.010000000000000002,1,1,both_selected,0.0008330089
fold_02,2020-05-06,2019-09-02,2020-09-01,601169.XSHG,-0.2306576358781247,-1.2961429461376646,0.028571428571428577,0.0033333333333333335,1,1,both_selected,0.000583013
fold_02,2020-05-06,2019-09-02,2020-09-01,601288.XSHG,0.7295427791956163,-0.7344294650609203,0.05,0.03666666666666667,1,1,both_selected,-5.01158e-05
fold_02,2020-05-06,2019-09-02,2020-09-01,601328.XSHG,-0.11197190203840846,-1.0088699187438332,0.03571428571428572,0.013333333333333334,1,1,both_selected,-0.0001990405
fold_02,2020-05-06,2019-09-02,2020-09-01,601398.XSHG,0.31703550414705567,-0.7724079971806325,0.05,0.03333333333333333,1,1,both_selected,0.0003525635
fold_02,2020-05-06,2019-09-02,2020-09-01,601818.XSHG,-0.39707862828059365,-0.830858111379927,0.014285714285714289,0.02666666666666667,1,1,both_selected,0.0014949522
fold_02,2020-05-06,2019-09-02,2020-09-01,601939.XSHG,0.5060785224640599,-0.8009563359251468,0.05,0.03,1,1,both_selected,0.0004455479
fold_02,2020-05-06,2019-09-02,2020-09-01,601988.XSHG,0.12928692800981142,-0.714349691439156,0.05,0.043333333333333335,1,1,both_selected,6.00831e-05
fold_02,2020-09-01,2019-09-02,2020-09-01,002142.XSHE,1.0786797325759,0.6474317917025697,0.05,0.05,1,1,both_selected,-0.000350339
fold_02,2020-09-01,2019-09-02,2020-09-01,600000.XSHG,-0.9687436889002341,-0.7206077878007833,0.007142857142857144,0.020000000000000004,1,1,both_selected,-0.0025552684
fold_02,2020-09-01,2019-09-02,2020-09-01,600016.XSHG,-0.1194499664211691,-0.6356764800358522,0.03571428571428572,0.03,1,1,both_selected,-0.0020103175
fold_02,2020-09-01,2019-09-02,2020-09-01,600036.XSHG,0.8973306929269153,-0.30501663657630096,0.05,0.04000000000000001,1,1,both_selected,0.0022219596
fold_02,2020-09-01,2019-09-02,2020-09-01,600919.XSHG,-0.3624378956301757,-0.7594320934792521,0.021428571428571436,0.013333333333333334,1,1,both_selected,-0.0018810581
fold_02,2020-09-01,2019-09-02,2020-09-01,600926.XSHG,0.16371227002952632,0.42103668555200635,0.05000000000000002,0.04666666666666667,1,1,both_selected,0.0024992483
fold_02,2020-09-01,2019-09-02,2020-09-01,601009.XSHG,0.4139597153430996,-0.42174055429002544,0.05,0.03333333333333333,1,1,both_selected,-0.0024896504
fold_02,2020-09-01,2019-09-02,2020-09-01,601166.XSHG,0.04618660249306702,-0.7883453873833038,0.04285714285714287,0.010000000000000002,1,1,both_selected,0.0024244797
fold_02,2020-09-01,2019-09-02,2020-09-01,601288.XSHG,0.5687050903840775,-0.6523445332992632,0.05,0.02666666666666667,1,1,both_selected,-0.0002164614
fold_02,2020-09-01,2019-09-02,2020-09-01,601328.XSHG,-0.3068852796175807,-0.9196573233365488,0.028571428571428577,0.0033333333333333335,1,1,both_selected,-0.0010446517
fold_02,2020-09-01,2019-09-02,2020-09-01,601398.XSHG,0.2972668376352363,-0.7495456018037924,0.05,0.016666666666666666,1,1,both_selected,9.31556e-05
fold_02,2020-09-01,2019-09-02,2020-09-01,601818.XSHG,-0.44618855224325965,-0.3239524348529489,0.014285714285714289,0.03666666666666667,1,1,both_selected,0.0005990943
fold_02,2020-09-01,2019-09-02,2020-09-01,601838.XSHG,0.4238987599812495,-0.00202461785612924,0.05,0.043333333333333335,1,1,both_selected,0.0007304231
fold_02,2020-09-01,2019-09-02,2020-09-01,601939.XSHG,0.23893001192843435,-0.8894610329497368,0.05,0.006666666666666667,1,1,both_selected,0.0003423911
fold_02,2020-09-01,2019-09-02,2020-09-01,601988.XSHG,0.26544711227662376,-0.6825057725378186,0.05,0.023333333333333334,1,1,both_selected,-0.0002122064
