schedule,rebalance_date,next_rebalance_date,hold_count,turnover_ratio,period_return,selected_codes
daily,2019-06-26,2019-06-27,5,0.4,0.005011867967497396,"601169.XSHG,601838.XSHG,600016.XSHG,601166.XSHG,601998.XSHG"
daily,2019-06-27,2019-06-28,5,0.4,-0.0062790843464653355,"601838.XSHG,601997.XSHG,601169.XSHG,601998.XSHG,600919.XSHG"
daily,2019-06-28,2019-07-01,5,0.8,0.014957897311728408,"000001.XSHE,002142.XSHE,600015.XSHG,601009.XSHG,601998.XSHG"
daily,2019-07-01,2019-07-02,5,0.6,0.0049740771580689905,"601169.XSHG,600919.XSHG,600015.XSHG,601328.XSHG,000001.XSHE"
daily,2019-07-02,2019-07-03,5,0.6,-0.0012003038476463557,"002142.XSHE,601998.XSHG,601939.XSHG,601169.XSHG,600015.XSHG"
daily,2019-07-03,2019-07-04,5,0.6,-0.006616566403343316,"601838.XSHG,601998.XSHG,601229.XSHG,002142.XSHE,600036.XSHG"
daily,2019-07-04,2019-07-05,5,0.8,-0.0008217066244938342,"601398.XSHG,600036.XSHG,600000.XSHG,000001.XSHE,601169.XSHG"
daily,2019-07-05,2019-07-08,5,0.8,-0.015458888118136982,"601229.XSHG,601288.XSHG,601998.XSHG,601398.XSHG,601009.XSHG"
daily,2019-07-08,2019-07-09,5,0.6,-0.0013411916450285944,"601838.XSHG,601009.XSHG,600000.XSHG,601398.XSHG,601169.XSHG"
daily,2019-07-09,2019-07-10,5,0.6,-0.012440168121024397,"601009.XSHG,601998.XSHG,601229.XSHG,600919.XSHG,601838.XSHG"
daily,2019-07-10,2019-07-11,5,0.8,0.0009943251912163831,"601288.XSHG,601398.XSHG,601229.XSHG,600016.XSHG,601818.XSHG"
daily,2019-07-11,2019-07-12,5,0.19999999999999996,0.0073518423065131785,"601229.XSHG,601328.XSHG,601818.XSHG,601288.XSHG,601398.XSHG"
daily,2019-07-12,2019-07-15,5,0.19999999999999996,-0.001359152356594806,"600015.XSHG,601328.XSHG,601229.XSHG,601288.XSHG,601398.XSHG"
daily,2019-07-15,2019-07-16,5,0.4,0.0005889891168818995,"601398.XSHG,600036.XSHG,601939.XSHG,600015.XSHG,601229.XSHG"
daily,2019-07-16,2019-07-17,5,0.6,-0.004613876236915204,"601818.XSHG,600036.XSHG,601169.XSHG,600016.XSHG,601398.XSHG"
daily,2019-07-17,2019-07-18,5,0.8,0.0023168833116312903,"600036.XSHG,601009.XSHG,601939.XSHG,601229.XSHG,600000.XSHG"
daily,2019-07-18,2019-07-19,5,0.8,0.012067966562717868,"601169.XSHG,601328.XSHG,002142.XSHE,600000.XSHG,600919.XSHG"
daily,2019-07-19,2019-07-22,5,0.4,-0.0048230895083307915,"601328.XSHG,600000.XSHG,601169.XSHG,601818.XSHG,600016.XSHG"
daily,2019-07-22,2019-07-23,5,0.6,0.0042660621316988005,"600036.XSHG,601328.XSHG,601838.XSHG,600000.XSHG,601939.XSHG"
daily,2019-07-23,2019-07-24,5,0.6,0.00500729358772789,"600036.XSHG,600015.XSHG,600016.XSHG,600000.XSHG,601229.XSHG"
daily,2019-07-24,2019-07-25,5,0.6,0.018904819779888938,"601169.XSHG,600036.XSHG,000001.XSHE,600000.XSHG,002142.XSHE"
daily,2019-07-25,2019-07-26,5,0.8,-0.0016134453781512681,"601398.XSHG,601169.XSHG,601939.XSHG,601838.XSHG,600016.XSHG"
daily,2019-07-26,2019-07-29,5,0.6,-0.0016176606724400688,"600036.XSHG,002142.XSHE,601838.XSHG,601988.XSHG,601169.XSHG"
daily,2019-07-29,2019-07-30,5,0.19999999999999996,0.0032704830487416013,"601838.XSHG,600000.XSHG,601988.XSHG,601169.XSHG,002142.XSHE"
daily,2019-07-30,2019-07-31,5,0.6,-0.0064984297531263556,"600036.XSHG,002142.XSHE,601939.XSHG,601838.XSHG,600016.XSHG"
