id,code,statDate,pubDate,statDate.1,goods_sale_and_service_render_cash,net_deposit_increase,net_borrowing_from_central_bank,net_borrowing_from_finance_co,net_original_insurance_cash,net_cash_received_from_reinsurance_business,net_insurer_deposit_investment,net_deal_trading_assets,interest_and_commission_cashin,net_increase_in_placements,net_buyback,tax_levy_refund,other_cashin_related_operate,subtotal_operate_cash_inflow,goods_and_services_cash_paid,net_loan_and_advance_increase,net_deposit_in_cb_and_ib,original_compensation_paid,handling_charges_and_commission,policy_dividend_cash_paid,staff_behalf_paid,tax_payments,other_operate_cash_paid,subtotal_operate_cash_outflow,net_operate_cash_flow,invest_withdrawal_cash,invest_proceeds,fix_intan_other_asset_dispo_cash,net_cash_deal_subcompany,other_cash_from_invest_act,subtotal_invest_cash_inflow,fix_intan_other_asset_acqui_cash,invest_cash_paid,impawned_loan_net_increase,net_cash_from_sub_company,other_cash_to_invest_act,subtotal_invest_cash_outflow,net_invest_cash_flow,cash_from_invest,cash_from_mino_s_invest_sub,cash_from_borrowing,cash_from_bonds_issue,other_finance_act_cash,subtotal_finance_cash_inflow,borrowing_repayment,dividend_interest_payment,proceeds_from_sub_to_mino_s,other_finance_act_payment,subtotal_finance_cash_outflow,net_finance_cash_flow,exchange_rate_change_effect,cash_equivalent_increase,cash_equivalents_at_beginning,cash_and_equivalents_at_end,requested_period
230676,002142.XSHE,2021-09-30,2021-10-29,2021-09-30,,22349000000.0,,,,,,,16650000000.0,,,,1456000000.0,42469000000.0,,41256000000.0,-2349000000.0,,6458000000.0,,2187000000.0,2068000000.0,-1114000000.0,73200000000.0,-30731000000.0,236150000000.0,5048000000.0,2000000.0,,,241200000000.0,412000000.0,263226000000.0,,,,263638000000.0,-22438000000.0,,,,161669000000.0,,161669000000.0,99539000000.0,5518000000.0,,,105195000000.0,56474000000.0,-23000000.0,3282000000.0,33758000000.0,37040000000.0,2021q3
234124,002142.XSHE,2021-12-31,2022-04-08,2021-12-31,,-4711000000.0,,,,,,,25184000000.0,,,,-41459000000.0,41659000000.0,,24400000000.0,-1582000000.0,,8604000000.0,,2159000000.0,2752000000.0,25476000000.0,61809000000.0,-20150000000.0,192153000000.0,2812000000.0,14000000.0,,,194979000000.0,1274000000.0,243102000000.0,,,,244376000000.0,-49397000000.0,,,,196088000000.0,,207977000000.0,130683000000.0,80000000.0,,387000000.0,131150000000.0,76827000000.0,-164000000.0,7116000000.0,37040000000.0,44156000000.0,2021q4
237457,002142.XSHE,2022-03-31,2022-04-27,2022-03-31,,265342000000.0,9611000000.0,,,,,9549000000.0,17786000000.0,16982000000.0,,,2262000000.0,321532000000.0,,68605000000.0,5298000000.0,,6029000000.0,,5917000000.0,821000000.0,83805000000.0,170475000000.0,151057000000.0,153483000000.0,3928000000.0,,,,157411000000.0,315000000.0,207590000000.0,,,,207905000000.0,-50494000000.0,,,,136780000000.0,,136780000000.0,158450000000.0,1621000000.0,,160000000.0,160231000000.0,-23451000000.0,-59000000.0,77053000000.0,44156000000.0,121209000000.0,2022q1
245539,002142.XSHE,2022-06-30,2022-08-27,2022-06-30,,-55366000000.0,-372000000.0,,,,,,17705000000.0,,,,29330000000.0,-22382000000.0,,55748000000.0,2001000000.0,,6819000000.0,,2358000000.0,1534000000.0,-42962000000.0,25498000000.0,-47880000000.0,267505000000.0,7847000000.0,,,,275356000000.0,369000000.0,314970000000.0,,,,315339000000.0,-39983000000.0,,,,127620000000.0,,127620000000.0,114710000000.0,1970000000.0,,233000000.0,116913000000.0,10707000000.0,831000000.0,-76325000000.0,121209000000.0,44884000000.0,2022q2
250382,002142.XSHE,2022-09-30,2022-10-28,2022-09-30,,-12277000000.0,-9239000000.0,-12852000000.0,,,,,17346000000.0,,,,-25916000000.0,1924000000.0,,34899000000.0,-1185000000.0,,7244000000.0,,2570000000.0,343000000.0,22743000000.0,66614000000.0,-64690000000.0,325039000000.0,7767000000.0,-1000000.0,,,332805000000.0,779000000.0,317720000000.0,,,,318499000000.0,14306000000.0,,,,170360000000.0,,170360000000.0,111260000000.0,6433000000.0,,188000000.0,117881000000.0,52479000000.0,928000000.0,3023000000.0,44884000000.0,47907000000.0,2022q3
253458,002142.XSHE,2022-12-31,2023-04-06,2022-12-31,,39245000000.0,,21504000000.0,,,,-3600000000.0,22204000000.0,,,,24924000000.0,78476000000.0,,22747000000.0,3107000000.0,,8497000000.0,,2544000000.0,4231000000.0,-18931000000.0,22195000000.0,56281000000.0,329674000000.0,-4005000000.0,19000000.0,,,325688000000.0,1410000000.0,374419000000.0,,,633000000.0,376462000000.0,-50774000000.0,,,,177987000000.0,,177987000000.0,177802000000.0,679000000.0,,465000000.0,178946000000.0,-959000000.0,-241000000.0,4307000000.0,47907000000.0,52214000000.0,2022q4
260071,002142.XSHE,2023-03-31,2023-04-28,2023-03-31,,285141000000.0,5600000000.0,,,,,,18985000000.0,14249000000.0,0.0,,10858000000.0,334833000000.0,,52171000000.0,8173000000.0,,7716000000.0,,6854000000.0,1282000000.0,112281000000.0,188477000000.0,146356000000.0,288418000000.0,10220000000.0,295000000.0,,,298933000000.0,523000000.0,336133000000.0,,,,336656000000.0,-37723000000.0,,,,124440000000.0,,124440000000.0,200750000000.0,2220000000.0,,162000000.0,203132000000.0,-78692000000.0,-105000000.0,29836000000.0,52214000000.0,82050000000.0,2023q1
263743,002142.XSHE,2023-06-30,2023-08-25,2023-06-30,,-42783000000.0,485000000.0,,,,,,19533000000.0,,,,-2475000000.0,4689000000.0,,72971000000.0,3629000000.0,,7770000000.0,,2558000000.0,1834000000.0,3960000000.0,92722000000.0,-88033000000.0,351278000000.0,5921000000.0,2000000.0,,,357201000000.0,544000000.0,319542000000.0,,,,320086000000.0,37115000000.0,,,,177366000000.0,,177366000000.0,154160000000.0,2650000000.0,,217000000.0,157027000000.0,20339000000.0,451000000.0,-30128000000.0,82050000000.0,51922000000.0,2023q2
271845,002142.XSHE,2023-09-30,2023-10-31,2023-09-30,,25620000000.0,933000000.0,-44178000000.0,,,,,18979000000.0,,,,34257000000.0,88613000000.0,,49802000000.0,263000000.0,,7534000000.0,,2714000000.0,1741000000.0,-64098000000.0,-2044000000.0,90657000000.0,298204000000.0,3469000000.0,310000000.0,,,301983000000.0,518000000.0,364306000000.0,,,,364824000000.0,-62841000000.0,,,,104165000000.0,,114165000000.0,129630000000.0,6822000000.0,,255000000.0,136707000000.0,-22542000000.0,-97000000.0,5177000000.0,51922000000.0,57099000000.0,2023q3
274469,002142.XSHE,2023-12-31,2024-04-10,2023-12-31,,-5036000000.0,36554000000.0,71076000000.0,,,,,22382000000.0,,,,-20324000000.0,66253000000.0,,42309000000.0,2481000000.0,,9190000000.0,,2738000000.0,2066000000.0,-16923000000.0,41861000000.0,24392000000.0,325408000000.0,7432000000.0,159000000.0,,,332999000000.0,2122000000.0,365694000000.0,,,,367816000000.0,-34817000000.0,0.0,,,110905000000.0,,110905000000.0,97874000000.0,2064000000.0,,349000000.0,100287000000.0,10618000000.0,-65000000.0,128000000.0,57099000000.0,57227000000.0,2023q4
