date,line,nav
2023-02-14,benchmark,0.8932
2023-02-15,benchmark,0.8824
2023-02-16,benchmark,0.8794
2023-02-17,benchmark,0.8687
2023-02-20,benchmark,0.9011
2023-02-21,benchmark,0.8996
2023-02-22,benchmark,0.8924
2023-02-23,benchmark,0.8922
2023-02-24,benchmark,0.8849
2023-02-27,benchmark,0.8815999999999999
2023-02-28,benchmark,0.8827
2023-03-01,benchmark,0.8934
2023-03-02,benchmark,0.8967
2023-03-03,benchmark,0.9063
2023-03-06,benchmark,0.8865000000000001
2023-03-07,benchmark,0.8878
2023-03-08,benchmark,0.8787
2023-03-09,benchmark,0.8731
2023-03-10,benchmark,0.8605
2023-03-13,benchmark,0.8644000000000001
2023-03-14,benchmark,0.8549
2023-03-15,benchmark,0.8621
2023-03-16,benchmark,0.862
2023-03-17,benchmark,0.8592
2023-03-20,benchmark,0.8532
2023-03-21,benchmark,0.8532
2023-03-22,benchmark,0.8628
2023-03-23,benchmark,0.8659
2023-03-24,benchmark,0.8543000000000001
2023-03-27,benchmark,0.8461
2023-03-28,benchmark,0.8491
2023-03-29,benchmark,0.8469
2023-03-30,benchmark,0.8556
2023-03-31,benchmark,0.8472999999999999
2023-04-03,benchmark,0.8499
2023-04-04,benchmark,0.8529
2023-04-06,benchmark,0.85
2023-04-07,benchmark,0.8533
2023-04-10,benchmark,0.8558
2023-04-11,benchmark,0.8514
2023-04-12,benchmark,0.8546
2023-04-13,benchmark,0.8674
2023-04-14,benchmark,0.873
2023-04-17,benchmark,0.8887
2023-04-18,benchmark,0.8969
2023-04-19,benchmark,0.8943
2023-04-20,benchmark,0.8897
2023-04-21,benchmark,0.8787
2023-04-24,benchmark,0.8693
2023-04-25,benchmark,0.8865000000000001
2023-04-26,benchmark,0.8746
2023-04-27,benchmark,0.8762
2023-04-28,benchmark,0.8896
2023-05-04,benchmark,0.9082
2023-05-05,benchmark,0.9131
2023-05-08,benchmark,0.9403
2023-05-09,benchmark,0.9241
2023-05-10,benchmark,0.8983
2023-05-11,benchmark,0.9007000000000001
2023-05-12,benchmark,0.8915
2023-05-15,benchmark,0.9027000000000001
2023-05-16,benchmark,0.8995
2023-05-17,benchmark,0.8915
2023-05-18,benchmark,0.8981
2023-05-19,benchmark,0.8902
2023-05-22,benchmark,0.8953
2023-05-23,benchmark,0.8799
2023-05-24,benchmark,0.8577
2023-05-25,benchmark,0.8503000000000001
2023-05-26,benchmark,0.8536
2023-05-29,benchmark,0.8471
2023-05-30,benchmark,0.8457
2023-05-31,benchmark,0.8404
2023-06-01,benchmark,0.8381
2023-06-02,benchmark,0.8555
2023-06-05,benchmark,0.857
2023-06-06,benchmark,0.8567
2023-06-07,benchmark,0.8632
2023-06-08,benchmark,0.8809
2023-06-09,benchmark,0.8782
2023-06-12,benchmark,0.8721
2023-06-13,benchmark,0.8742
2023-06-14,benchmark,0.8599
2023-06-15,benchmark,0.8627
2023-06-16,benchmark,0.8592
2023-06-19,benchmark,0.8507
2023-06-20,benchmark,0.8452
2023-06-21,benchmark,0.8414
2023-06-26,benchmark,0.8308
2023-06-27,benchmark,0.8381
2023-06-28,benchmark,0.8381
2023-06-29,benchmark,0.8315
2023-06-30,benchmark,0.8348
2023-07-03,benchmark,0.8475
2023-07-04,benchmark,0.842
2023-07-05,benchmark,0.8375
2023-07-06,benchmark,0.8307
2023-07-07,benchmark,0.8289
2023-07-10,benchmark,0.8317
2023-07-11,benchmark,0.8375
2023-07-12,benchmark,0.8444
2023-07-13,benchmark,0.8527
2023-07-14,benchmark,0.8512
2023-07-17,benchmark,0.8438
2023-07-18,benchmark,0.8404
2023-07-19,benchmark,0.8422000000000001
2023-07-20,benchmark,0.8446
2023-07-21,benchmark,0.8456
2023-07-24,benchmark,0.8436
2023-07-25,benchmark,0.8748
2023-07-26,benchmark,0.8735999999999999
2023-07-27,benchmark,0.8804
2023-07-28,benchmark,0.914
2023-07-31,benchmark,0.9218
2023-08-01,benchmark,0.9127
2023-08-02,benchmark,0.8956999999999999
2023-08-03,benchmark,0.9057
2023-08-04,benchmark,0.9088
2023-08-07,benchmark,0.9
2023-08-08,benchmark,0.8992
2023-08-09,benchmark,0.9008
2023-08-10,benchmark,0.9016
2023-08-11,benchmark,0.8862
2023-08-14,benchmark,0.8746
2023-08-15,benchmark,0.8822
2023-08-16,benchmark,0.8827
2023-08-17,benchmark,0.874
2023-08-18,benchmark,0.8819
2023-08-21,benchmark,0.8705
2023-08-22,benchmark,0.8786
2023-08-23,benchmark,0.8739
2023-08-24,benchmark,0.873
2023-08-25,benchmark,0.8785000000000001
2023-08-28,benchmark,0.8931
2023-08-29,benchmark,0.881
2023-08-30,benchmark,0.8694
2023-08-31,benchmark,0.8643
2023-09-01,benchmark,0.8716
2023-09-04,benchmark,0.8857
2023-09-05,benchmark,0.8779
2023-09-06,benchmark,0.8804
2023-09-07,benchmark,0.8802
2023-09-08,benchmark,0.8782
2023-09-11,benchmark,0.8794
2023-09-12,benchmark,0.8786
2023-09-13,benchmark,0.8813
2023-09-14,benchmark,0.8919
2023-09-15,benchmark,0.8884
2023-09-18,benchmark,0.89
2023-09-19,benchmark,0.8963
2023-09-20,benchmark,0.9014
2023-09-21,benchmark,0.8969
2023-09-22,benchmark,0.9047000000000001
2023-09-25,benchmark,0.9065
2023-09-26,benchmark,0.9032
2023-09-27,benchmark,0.894
2023-09-28,benchmark,0.8998
2023-10-09,benchmark,0.898
2023-10-10,benchmark,0.8983
2023-10-11,benchmark,0.9006000000000001
2023-10-12,benchmark,0.9206
2023-10-13,benchmark,0.9299999999999999
2023-10-16,benchmark,0.9324
2023-10-17,benchmark,0.9364
2023-10-18,benchmark,0.9364
2023-10-19,benchmark,0.9167
2023-10-20,benchmark,0.9129
2023-10-23,benchmark,0.907
2023-10-24,benchmark,0.8977999999999999
2023-10-25,benchmark,0.8951
2023-10-26,benchmark,0.906
2023-10-27,benchmark,0.9049
2023-10-30,benchmark,0.8868
2023-10-31,benchmark,0.8932
2023-11-01,benchmark,0.8929
2023-11-02,benchmark,0.8981
2023-11-03,benchmark,0.8909
2023-11-06,benchmark,0.8835
2023-11-07,benchmark,0.8848
2023-11-08,benchmark,0.8812
2023-11-09,benchmark,0.89
2023-11-10,benchmark,0.8876
2023-11-13,benchmark,0.8847
2023-11-14,benchmark,0.8876999999999999
2023-11-15,benchmark,0.889
2023-11-16,benchmark,0.8901
2023-11-17,benchmark,0.885
2023-11-20,benchmark,0.8888
2023-11-21,benchmark,0.8904
2023-11-22,benchmark,0.8873
2023-11-23,benchmark,0.8876
2023-11-24,benchmark,0.8892
2023-11-27,benchmark,0.8827
2023-11-28,benchmark,0.8808
2023-11-29,benchmark,0.8756
2023-11-30,benchmark,0.882
2023-12-01,benchmark,0.8815999999999999
2023-12-04,benchmark,0.8825000000000001
2023-12-05,benchmark,0.8728
2023-12-06,benchmark,0.8655
2023-12-07,benchmark,0.8702
2023-12-08,benchmark,0.8689
2023-12-11,benchmark,0.8713
2023-12-12,benchmark,0.8814
2023-12-13,benchmark,0.8763
2023-12-14,benchmark,0.8737
2023-12-15,benchmark,0.8688
2023-12-18,benchmark,0.8743
2023-12-19,benchmark,0.8745
2023-12-20,benchmark,0.8734
2023-12-21,benchmark,0.8731
2023-12-22,benchmark,0.8738
2023-12-25,benchmark,0.8754
2023-12-26,benchmark,0.8763
2023-12-27,benchmark,0.8828
2023-12-28,benchmark,0.8787
2023-12-29,benchmark,0.8788
2024-01-02,benchmark,0.8823
2024-01-03,benchmark,0.8913
2024-01-04,benchmark,0.899
2024-01-05,benchmark,0.9026
2024-01-08,benchmark,0.9
2024-01-09,benchmark,0.9017
2024-01-10,benchmark,0.8962
2024-01-11,benchmark,0.8931
2024-01-12,benchmark,0.8999
2024-01-15,benchmark,0.9062
2024-01-16,benchmark,0.9185
2024-01-17,benchmark,0.9082
2024-01-18,benchmark,0.9053
2024-01-19,benchmark,0.9027000000000001
2024-01-22,benchmark,0.8999
2024-01-23,benchmark,0.8998
2024-01-24,benchmark,0.9157
2024-01-25,benchmark,0.9291
2024-01-26,benchmark,0.9437
2024-01-29,benchmark,0.9551
2024-01-30,benchmark,0.945
2024-01-31,benchmark,0.9477
2024-02-01,benchmark,0.9417
2024-02-02,benchmark,0.9449
2024-02-05,benchmark,0.956
2024-02-06,benchmark,0.969
2024-02-07,benchmark,0.9525
2024-02-08,benchmark,0.9467
2024-02-19,benchmark,0.9718
2024-02-20,benchmark,0.9791
2024-02-21,benchmark,0.9927
2024-02-22,benchmark,0.9942
2024-02-23,benchmark,1.003
2024-02-26,benchmark,0.9757
2024-02-27,benchmark,0.9767
2024-02-28,benchmark,0.9732
2024-02-29,benchmark,0.9814
2024-03-01,benchmark,0.9823
2024-03-04,benchmark,0.9779
2024-03-05,benchmark,0.9977
2024-03-06,benchmark,0.9865
2024-03-07,benchmark,0.9911
2024-03-08,benchmark,0.9921
2024-03-11,benchmark,0.988
2024-03-12,benchmark,0.9683
2024-03-13,benchmark,0.9598
2024-03-14,benchmark,0.963
2024-03-15,benchmark,0.9644
2024-03-18,benchmark,0.9609
2024-03-19,benchmark,0.9532
2024-03-20,benchmark,0.9614
2024-03-21,benchmark,0.9699
2024-03-22,benchmark,0.9729
2024-03-25,benchmark,0.9769
2024-03-26,benchmark,0.9914
2024-03-27,benchmark,0.9969
2024-03-28,benchmark,0.9792
2024-03-29,benchmark,0.9861
2024-04-01,benchmark,0.9925
2024-04-02,benchmark,0.9974
2024-04-03,benchmark,0.9949
2024-04-08,benchmark,1.0031
2024-04-09,benchmark,0.9956
2024-04-10,benchmark,0.9949
2024-04-11,benchmark,0.9915
2024-04-12,benchmark,0.989
2024-04-15,benchmark,1.0083
2024-04-16,benchmark,1.0125
2024-04-17,benchmark,1.0243
2024-04-18,benchmark,1.0302
2024-04-19,benchmark,1.0316
2024-04-22,benchmark,1.0223
2024-04-23,benchmark,1.0208
2024-04-24,benchmark,1.019
2024-04-25,benchmark,1.0299
2024-04-26,benchmark,1.0067
2024-04-29,benchmark,1.0087
2024-04-30,benchmark,1.0127
2024-05-06,benchmark,1.0124
2024-05-07,benchmark,1.0155
2024-05-08,benchmark,1.0189
2024-05-09,benchmark,1.0211
2024-05-10,benchmark,1.0316
2024-05-13,benchmark,1.0351
2024-05-14,benchmark,1.0302
2024-05-15,benchmark,1.0283
2024-05-16,benchmark,1.0426
2024-05-17,benchmark,1.0508
2024-05-20,benchmark,1.043
2024-05-21,benchmark,1.0544
2024-05-22,benchmark,1.06
2024-05-23,benchmark,1.0569
2024-05-24,benchmark,1.0507
2024-05-27,benchmark,1.0636
2024-05-28,benchmark,1.0599
2024-05-29,benchmark,1.0531
2024-05-30,benchmark,1.0448
2024-05-31,benchmark,1.0478
2024-06-03,benchmark,1.0338
2024-06-04,benchmark,1.0378
2024-06-05,benchmark,1.0305
2024-06-06,benchmark,1.0304
2024-06-07,benchmark,1.0387
2024-06-11,benchmark,1.0224
2024-06-12,benchmark,1.0201
2024-06-13,benchmark,1.0149
2024-06-14,benchmark,1.02
2024-06-17,benchmark,1.0075
2024-06-18,benchmark,1.0124
2024-06-19,benchmark,1.025
2024-06-20,benchmark,1.0254
2024-06-21,benchmark,1.0204
2024-06-24,benchmark,1.0266
2024-06-25,benchmark,1.0329
2024-06-26,benchmark,1.0369
2024-06-27,benchmark,1.0542
2024-06-28,benchmark,1.0568
2024-07-01,benchmark,1.0726
2024-07-02,benchmark,1.0939
2024-07-03,benchmark,1.0824
2024-07-04,benchmark,1.0872
2024-07-05,benchmark,1.0664
