code,statement_family,missing_reason,row_count
601009.XSHG,cash_flow,missing_prior_cumulative_report,21
601009.XSHG,indicator,,1323
601009.XSHG,indicator,missing_raw_value,196
601009.XSHG,indicator,outside_current_available_window,93
601009.XSHG,balance,missing_raw_value,1660
601009.XSHG,balance,,1623
601009.XSHG,balance,outside_current_available_window,201
601009.XSHG,parent_balance,,1161
601009.XSHG,parent_balance,missing_raw_value,789
601009.XSHG,parent_balance,missing_target_report,500
601009.XSHG,parent_balance,outside_current_available_window,150
601009.XSHG,bank_indicator,,447
601009.XSHG,bank_indicator,provider_unavailable_annual_bank_indicator,159
601009.XSHG,bank_indicator,missing_raw_value,83
601077.XSHG,income,,332
601077.XSHG,income,outside_current_available_window,42
601077.XSHG,income,missing_raw_value,14
601077.XSHG,income,missing_prior_cumulative_report,4
601077.XSHG,cash_flow,,663
601077.XSHG,cash_flow,missing_raw_value,249
601077.XSHG,cash_flow,outside_current_available_window,111
601077.XSHG,cash_flow,missing_prior_cumulative_report,13
601077.XSHG,indicator,,675
601077.XSHG,indicator,missing_raw_value,100
601077.XSHG,indicator,outside_current_available_window,93
601077.XSHG,balance,missing_raw_value,899
601077.XSHG,balance,,776
601077.XSHG,balance,outside_current_available_window,201
601077.XSHG,parent_balance,,660
601077.XSHG,parent_balance,missing_raw_value,540
601077.XSHG,parent_balance,outside_current_available_window,150
601077.XSHG,parent_balance,missing_target_report,50
601077.XSHG,bank_indicator,,229
601077.XSHG,bank_indicator,provider_unavailable_annual_bank_indicator,159
601077.XSHG,bank_indicator,missing_raw_value,36
601128.XSHG,income,,508
601128.XSHG,income,outside_current_available_window,42
601128.XSHG,income,missing_raw_value,18
601128.XSHG,income,missing_prior_cumulative_report,6
601128.XSHG,cash_flow,,1062
601128.XSHG,cash_flow,missing_raw_value,327
601128.XSHG,cash_flow,outside_current_available_window,111
601128.XSHG,cash_flow,missing_prior_cumulative_report,17
601128.XSHG,indicator,,1026
601128.XSHG,indicator,missing_raw_value,152
601128.XSHG,indicator,outside_current_available_window,93
601128.XSHG,balance,missing_raw_value,1316
601128.XSHG,balance,,1230
601128.XSHG,balance,outside_current_available_window,201
601128.XSHG,parent_balance,,819
601128.XSHG,parent_balance,missing_raw_value,581
601128.XSHG,parent_balance,missing_target_report,500
601128.XSHG,parent_balance,outside_current_available_window,150
601128.XSHG,bank_indicator,,316
601128.XSHG,bank_indicator,provider_unavailable_annual_bank_indicator,159
601128.XSHG,bank_indicator,missing_raw_value,108
601166.XSHG,income,,653
601166.XSHG,income,outside_current_available_window,42
601166.XSHG,income,missing_raw_value,28
601166.XSHG,income,missing_prior_cumulative_report,5
601166.XSHG,cash_flow,,1295
601166.XSHG,cash_flow,missing_raw_value,493
601166.XSHG,cash_flow,outside_current_available_window,111
601166.XSHG,cash_flow,missing_prior_cumulative_report,25
601166.XSHG,indicator,,1323
601166.XSHG,indicator,missing_raw_value,196
601166.XSHG,indicator,outside_current_available_window,93
601166.XSHG,balance,,1649
601166.XSHG,balance,missing_raw_value,1634
601166.XSHG,balance,outside_current_available_window,201
601166.XSHG,parent_balance,,1424
601166.XSHG,parent_balance,missing_raw_value,1026
601166.XSHG,parent_balance,outside_current_available_window,150
601166.XSHG,bank_indicator,,464
601166.XSHG,bank_indicator,provider_unavailable_annual_bank_indicator,159
601166.XSHG,bank_indicator,missing_raw_value,66
601169.XSHG,income,,629
601169.XSHG,income,missing_raw_value,42
601169.XSHG,income,outside_current_available_window,42
601169.XSHG,income,missing_prior_cumulative_report,15
601169.XSHG,cash_flow,,1317
